"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Enterobacteriaceae"	"DMM"	"DMM3"	"DMMDMM3"	2.7447576776007	-0.297214406821779	0.334910479590048	9.5661256693802e-12	1.67023728181448e-09	9.5661256693802e-12	1.04389830113405e-09	NA	"abundance"	156	156
"Unclassified Proteobacteria"	"DMM"	"DMM5"	"DMMDMM5"	4.96760545769674	0.0290713950872676	0.600928638009279	1.39186440151207e-11	1.67023728181448e-09	1.39186440151207e-11	1.04389830113405e-09	NA	"abundance"	156	152
"[Tissierellaceae]"	"DMM"	"DMM2"	"DMMDMM2"	4.88850497144125	0	0.920407465467841	1.08881810878356e-07	6.53290865270136e-06	2.17763609901464e-07	8.16613537130488e-06	NA	"prevalence"	156	74
"Fusobacteriaceae"	"DMM"	"DMM2"	"DMMDMM2"	3.34875653734248	0	0.625760663580866	8.72294121405291e-08	6.53290865270136e-06	1.74458816672088e-07	8.16613537130488e-06	NA	"prevalence"	156	85
"Fusobacteriaceae"	"DMM"	"DMM4"	"DMMDMM4"	3.76821408233061	0	0.735332557267913	2.98323198193189e-07	1.43195135132731e-05	5.96646307389647e-07	1.78993892216894e-05	NA	"prevalence"	156	85
"[Tissierellaceae]"	"DMM"	"DMM4"	"DMMDMM4"	4.55923196078722	0	0.930542450721534	9.6060241071415e-07	3.8424096428566e-05	1.92120389867131e-06	4.80300974667827e-05	NA	"prevalence"	156	74
"Christensenellaceae"	"DMM"	"DMM4"	"DMMDMM4"	-2.50550851132593	-0.140897260823162	0.367983704847578	2.31179228626921e-06	7.92614498149443e-05	2.31179228626921e-06	4.95384061343402e-05	NA	"abundance"	156	152
"[Paraprevotellaceae]"	"DMM"	"DMM2"	"DMMDMM2"	8.29892718588609	0	1.84204637385278	6.62867525442805e-06	0.000160496498939618	6.62867525442805e-06	0.000110477920907134	NA	"prevalence"	156	82
"[Paraprevotellaceae]"	"DMM"	"DMM4"	"DMMDMM4"	6.46234037197358	0	1.42765950484655	5.99607277045725e-06	0.000160496498939618	5.99607277045725e-06	0.000110477920907134	NA	"prevalence"	156	82
"Fusobacteriaceae"	"DMM"	"DMM3"	"DMMDMM3"	2.59695862983465	0	0.576665685018384	6.68735412248408e-06	0.000160496498939618	1.3374663524263e-05	0.000200619952863945	NA	"prevalence"	156	85
"Unclassified Proteobacteria"	"DMM"	"DMM6"	"DMMDMM6"	6.52233634840348	-2.45061086098037	1.53410400771535	2.14453348488242e-05	0.000467898214883436	2.14453348488242e-05	0.000292436384302148	NA	"abundance"	156	152
"[Tissierellaceae]"	"DMM"	"DMM3"	"DMMDMM3"	3.57708483805389	0	0.865828277004707	3.60557107452716e-05	0.000721114214905433	7.2110121476266e-05	0.000901376518453325	NA	"prevalence"	156	74
"Bifidobacteriaceae"	"DMM"	"DMM2"	"DMMDMM2"	2.14694129323154	0	0.530372315635421	5.16595762827607e-05	0.000953715254450966	0.0001033164838537	0.001192113275235	NA	"prevalence"	156	99
"Prevotellaceae"	"DMM"	"DMM4"	"DMMDMM4"	2.41695477639149	-0.140897260823162	0.568239225965229	0.000116230329417544	0.00199251993287218	0.000232447149345611	0.00232447149345611	NA	"abundance"	156	149
"Christensenellaceae"	"DMM"	"DMM3"	"DMMDMM3"	-1.89615085625474	-0.297214406821779	0.329868488852016	0.000136223342681041	0.00217957348289666	0.000136223342681041	0.00145953581443973	NA	"abundance"	156	152
"Bifidobacteriaceae"	"DMM"	"DMM4"	"DMMDMM4"	2.19258144002607	0	0.587648234449177	0.00019063636431846	0.00285954546477689	0.000381236386413518	0.00317696988677932	NA	"prevalence"	156	99
"Pasteurellaceae"	"DMM"	"DMM4"	"DMMDMM4"	4.76441002619538	0	1.32176922537143	0.00031266987078132	0.00441416288161863	0.00031266987078132	0.00293128003857487	NA	"prevalence"	156	52
"[Paraprevotellaceae]"	"DMM"	"DMM3"	"DMMDMM3"	4.65849133583106	0	1.30442663156094	0.000355221534023622	0.00473628712031497	0.000355221534023622	0.00313430765314961	NA	"prevalence"	156	82
"S24-7"	"DMM"	"DMM4"	"DMMDMM4"	-1.9139829104558	-0.140897260823162	0.379277632455641	0.000426646345913717	0.00538921700101537	0.000426646345913717	0.00336826062563461	NA	"abundance"	156	153
"Porphyromonadaceae"	"DMM"	"DMM4"	"DMMDMM4"	1.16741046072277	-0.140897260823162	0.190428280002561	0.000467563865390819	0.00561076638468982	0.000934909114813419	0.00701181836110064	NA	"abundance"	156	154
"Unclassified Tenericutes"	"DMM"	"DMM2"	"DMMDMM2"	1.41655893679669	0.0375202579211349	0.309805054031646	0.000521086773409118	0.00595527741038993	0.00104190201539282	0.00744215725280582	NA	"abundance"	156	149
"Coriobacteriaceae"	"DMM"	"DMM2"	"DMMDMM2"	1.27642326948519	0.0375202579211349	0.267654298363362	0.000665977742466239	0.00726521173599534	0.00133151195857902	0.00863682010735117	NA	"abundance"	156	149
"Bifidobacteriaceae"	"DMM"	"DMM5"	"DMMDMM5"	2.35457118317819	0	0.695359495595534	0.000708881967090081	0.00732736263013776	0.0014172614205369	0.00863682010735117	NA	"prevalence"	156	99
"Methanobacteriaceae"	"DMM"	"DMM3"	"DMMDMM3"	1.89881386545978	0	0.562273673934153	0.000732736263013776	0.00732736263013776	0.00146493562359642	0.00863682010735117	NA	"prevalence"	156	46
"Bifidobacteriaceae"	"DMM"	"DMM5"	"DMMDMM5"	2.15708356322251	0.0290713950872676	0.547530327213165	0.000960812772176967	0.00922380261289888	0.0014172614205369	0.00863682010735117	NA	"abundance"	156	99
