feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2012.11.06	-10.6794800995054	-3.96294640524405	-11.2644426002266	NA	-8.35755200461808	-7.87212517744784	-7.90689059560852	-7.64973275611139	-1.68324201830164	-7.17697975897626	NA	-3.09326580257483	-4.8550516640889	NA	-6.09451759878429	-12.2644426002266	-13.2644426002266	-4.82149910437787	-2.14809863898913	-6.59201725825511	-10.9425145053392	-11.6794800995054	-4.24485187186872	-12.2644426002266	-11.6794800995054	-4.63144740308364	-4.11723767528437	-9.09451759878429	-6.94251450533924	-13.2644426002266
LLM.2013.01.26	-8.34931809291887	-1.8877022270197	-10.6712461878062	NA	-6.98942214783249	-8.50132118636392	-9.08628368708507	-7.50132118636392	-4.83414392235457	-5.48802436375046	-13.2562086885274	-3.08503189087561	-9.93428059364002	NA	-4.04432039398138	NA	-13.2562086885274	-3.67689275094737	-2.03643513763451	-5.52149906830155	-9.79677706989009	-9.16874584727705	-4.63782318626878	-7.44885376646978	-9.25620868852739	-5.80499757669506	-4.97080646966514	-7.70161983684975	-5.48802436375046	-13.2562086885274
LLM.2013.02.08	-8.40308550487182	-2.02385653924437	-13.2610664999994	NA	-7.28378657649948	-7.21667238064094	-9.17360365874905	-6.78533306903299	-2.94478496825317	-6.29528221533731	-8.09114149855708	-3.19094555552257	-9.93913840511203	-11.2610664999994	-4.78128623597029	-13.2610664999994	-13.2610664999994	-4.05405217982186	-1.98261704177891	-6.00367865730674	-11.2610664999994	-11.2610664999994	-4.29239970680418	-9.35417590439087	-9.8016348813621	-6.5886411580279	-5.31855199466015	-7.11131938049471	-7.61721031022467	-8.8016348813621
LLM.2013.02.05	-8.49392955711503	-2.40725271154793	-10.9268889643911	NA	-6.59060557652671	-7.5208966047153	-9.07889205783619	-5.78121150919551	-6.26013237250634	-7.14029260250033	-6.29462074889163	-3.17869611480168	-9.92688896439114	-8.39083606415093	-4.69807027389526	-4.69807027389526	-13.2488170592785	-3.7629877505766	-1.65216139160384	-7.20442293992005	-9.66385455855735	NA	-4.7489711721953	-9.07889205783619	-10.9268889643911	-5.60496086950378	-3.88687328554326	-7.41592704511376	-6.9450363111014	-7.29462074889163
LLM.2013.03.24	-7.84432258574541	-2.16402440000263	-9.57014762230642	NA	-10.2705873404475	-7.94865924556015	-11.2705873404475	-7.98518512158526	-2.40253648670235	-8.87826991766875	-10.2705873404475	-2.70929939528268	-9.94865924556015	-11.6856248397264	-4.93519698575359	-4.62312891399259	-13.2705873404475	-5.33394940144494	-2.26145855090825	-7.31639103006064	-13.2705873404475	-9.94865924556015	-4.56668376700285	-9.27058734044751	-8.14130432350255	-6.23716433891006	-7.6558774963323	-9.81115572181021	-4.85695941142334	-11.2705873404475
LLM.2013.04.07	-7.09495737779726	-2.27761836716704	-10.9429542843522	NA	-10.9429542843522	-7.45752745718197	-10.0949573777973	-7.26488237923958	-3.16685029627905	-7.94295428435221	-6.06521003440321	-2.96110163106247	-9.94295428435221	-6.57838185205636	-4.84281761306676	-3.18007399143521	-11.6799198785184	-4.98411160910897	-2.19342001668295	-7.67991987851842	-12.2648823792396	-10.6799198785184	-5.01221694678933	-7.406901384112	-9.26488237923958	-5.26488237923958	-7.65017253512437	-9.67991987851842	-5.34601914196498	-7.53696192467638
LLM.2013.04.29	-7.680066441737	-2.1942371330351	-9.9431008475708	NA	-10.2650289424582	-7.8727115196794	-9.680066441737	-7.22063482309971	-2.9784711808502	-6.90747693784008	-9.680066441737	-2.48530958731476	-9.9431008475708	-11.680066441737	-5.2151803930076	-4.50015735172207	NA	-5.01710142901457	-2.08325550364935	-7.59260360048666	-13.2650289424582	NA	-4.66140259747197	-10.680066441737	-11.680066441737	-5.77317584612849	-7.77317584612848	-8.35813834684964	-4.78524867842906	-11.2650289424582
LLM.2013.07.14	-8.41916108190612	-2.59327020841109	-9.5767023588926	NA	-9.37025148142518	-8.69217957631254	-9.10721707559138	-7.44425206286895	-2.67444321201573	-6.5492216224705	-10.9552139821463	-2.47624217711339	NA	-12.2771420770337	-4.45696311461851	-5.39449902767185	NA	-4.3914457036943	-2.07318237379423	-6.69217957631254	-13.2771420770337	NA	-5.29986215353378	-8.06768871140475	-9.37025148142518	-6.2771420770337	-8.63328588725897	-8.63328588725897	-4.11475074827679	-12.2771420770337
LLM.2013.09.03	-8.88351608723471	-3.76605850568653	-8.06638014438452	NA	-9.81640189137617	-8.81640189137617	-10.1059085085712	-8.06638014438452	-1.67685053897738	-6.61762202726168	-12.2758335100135	-3.10340600136799	-8.95390541512611	-13.2758335100135	-5.51428227756899	-4.82050628970891	-13.2758335100135	-5.66112366589826	-2.01373866464329	-6.4178525148859	-13.2758335100135	NA	-5.35102100640769	-5.18307636909362	-11.2758335100135	-4.97205276183637	-10.4684785879559	-10.6908710092923	-4.35697027273888	-13.2758335100135
LLM.2013.09.24	-8.09656875486987	-4.4023076116579	-7.38385070695034	NA	-9.09656875486987	-9.56605403817109	-10.2664937563122	-7.84022900161009	-1.51997943517372	-5.6740367190441	-13.2664937563122	-2.88278946383813	-9.94456566142482	NA	-5.21664520686162	-4.88711538924092	NA	-4.84442899013937	-2.08099883210132	-7.84022900161009	-13.2664937563122	NA	-5.43360374214744	-7.65178391219698	-9.80706213767489	-4.76664786922898	-12.2664937563122	-9.68153125559103	-5.26649375631218	-13.2664937563122
