feature	Alcaligenaceae	Bacteroidaceae	Bifidobacteriaceae	Burkholderiaceae	Christensenellaceae	Clostridiaceae	Coriobacteriaceae	Desulfovibrionaceae	Enterobacteriaceae	Erysipelotrichaceae	Fusobacteriaceae	Lachnospiraceae	Methanobacteriaceae	Pasteurellaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	S24-7	Synergistaceae	Unclassified Cyanobacteria	Unclassified Firmicutes	Unclassified Proteobacteria	Unclassified Tenericutes	Veillonellaceae	Verrucomicrobiaceae	[Barnesiellaceae]	[Paraprevotellaceae]	[Tissierellaceae]
LLM.2012.11.06	0.000609756097560976	0.0641260162601626	0.00040650406504065	NA	0.00304878048780488	0.00426829268292683	0.00416666666666667	0.00497967479674797	0.311382113821138	0.00691056910569106	NA	0.117174796747967	0.0345528455284553	NA	0.0146341463414634	0.000203252032520325	0.000101626016260163	0.0353658536585366	0.225609756097561	0.0103658536585366	0.000508130081300813	0.000304878048780488	0.0527439024390244	0.000203252032520325	0.000304878048780488	0.0403455284552846	0.0576219512195122	0.00182926829268293	0.00813008130081301	0.000101626016260163
LLM.2013.01.26	0.00306623058053966	0.270237121831562	0.000613246116107931	NA	0.00786999182338512	0.00275960752248569	0.00183973834832379	0.00551921504497138	0.0350572363041701	0.0222812755519215	0.000102207686017989	0.117845461978741	0.00102207686017989	NA	0.0606091578086672	NA	0.000102207686017989	0.0781888798037612	0.243765331152903	0.0217702371218316	0.00112428454619787	0.00173753066230581	0.0401676206050695	0.00572363041700736	0.00163532297628782	0.017886345053148	0.0318887980376124	0.00480376124284546	0.0222812755519215	0.000102207686017989
LLM.2013.02.08	0.00295405928491393	0.245899969440766	0.000101864113272894	NA	0.00641743913619232	0.006723031476011	0.0017316899256392	0.00906590608128756	0.12987674442294	0.0127330141591117	0.00366710807782418	0.109503921768361	0.00101864113272894	0.000407456453091576	0.0363654884384231	0.000101864113272894	0.000101864113272894	0.0602016909442803	0.253030457369869	0.0155852093307528	0.000407456453091576	0.000407456453091576	0.0510339207497199	0.00152796169909341	0.00112050524600183	0.0103901395538352	0.0250585718651319	0.00723235204237547	0.0050932056636447	0.00224101049200367
LLM.2013.02.05	0.00277378261762893	0.188514485309225	0.000513663447709061	NA	0.010376001643723	0.00544483254571605	0.00184918841175262	0.0181836860489008	0.0130470515718101	0.00708855557838504	0.0127388535031847	0.110437641257448	0.00102732689541812	0.00297924799671255	0.0385247585781796	0.0385247585781796	0.000102732689541812	0.0736593384014793	0.318163139510992	0.00678035750975961	0.00123279227450175	NA	0.037189233614136	0.00184918841175262	0.000513663447709061	0.0205465379083624	0.0675981097185124	0.00585576330388329	0.00811588247380316	0.00636942675159236
LLM.2013.03.24	0.00435134588140053	0.223132969034608	0.00131552317344667	NA	0.000809552722121028	0.00404776361060514	0.000404776361060514	0.00394656952034001	0.189131754705525	0.0021250758955677	0.000809552722121028	0.152904270390609	0.00101194090265129	0.000303582270795386	0.0326856911556365	0.0405788301963165	0.000101194090265129	0.0247925521149565	0.20856102003643	0.00627403359643797	0.000101194090265129	0.00101194090265129	0.0421979356405586	0.00161910544424206	0.0035417931592795	0.0132564258247318	0.0049585104229913	0.00111313499291641	0.0345071847804088	0.000404776361060514
LLM.2013.04.07	0.00731484303565986	0.206237935588743	0.000507975210809712	NA	0.000507975210809712	0.00568932236106878	0.000914355379457483	0.00650208269836432	0.111348166209489	0.0040638016864777	0.0149344711978055	0.128416133292695	0.00101595042161942	0.0104642893426801	0.0348470994615463	0.11033221578787	0.000304785126485827	0.0315960581123641	0.2186325307325	0.00487656202377324	0.000203190084323885	0.000609570252971655	0.0309864878593925	0.00589251244539266	0.00162552067459108	0.0260083307934573	0.00497815706593518	0.00121914050594331	0.0245860002031901	0.00538453723458295
LLM.2013.04.29	0.00487606663957741	0.218508736286063	0.00101584721657863	NA	0.000812677773262901	0.00426655830963023	0.00121901665989435	0.00670459162941894	0.12687931735067	0.00832994717594474	0.00121901665989435	0.178585940674523	0.00101584721657863	0.000304754164973588	0.0269199512393336	0.0441893539211703	NA	0.0308817553839902	0.235981308411215	0.005180820804551	0.000101584721657863	NA	0.0395164567249086	0.000609508329947176	0.000304754164973588	0.0182852498984153	0.00457131247460382	0.00304754164973588	0.036265745631857	0.000406338886631451
LLM.2013.07.14	0.00292132567744535	0.165709680668883	0.00130955978644102	NA	0.00151103052281656	0.0024176488365065	0.00181323662737987	0.00574191598670293	0.156643497531984	0.0106779490279037	0.000503676840938854	0.179711896846983	NA	0.000201470736375541	0.0455323864208724	0.0237735468923139	NA	0.0476478291528156	0.237634733554951	0.00967059534602599	0.000100735368187771	NA	0.0253853127833182	0.00372720862294752	0.00151103052281656	0.0128941271280347	0.00251838420469427	0.00251838420469427	0.0577213659715926	0.000201470736375541
LLM.2013.09.03	0.00211736237144586	0.073502722323049	0.00373059084492841	NA	0.00110909457551926	0.00221818915103852	0.000907441016333938	0.00373059084492841	0.312764670296431	0.0101835047388586	0.00020165355918532	0.116354103649929	0.0020165355918532	0.00010082677959266	0.0218794111716072	0.0353901996370236	0.00010082677959266	0.0197620488001613	0.247630570679572	0.0116959064327485	0.00010082677959266	NA	0.0245009074410163	0.0275257108287961	0.000403307118370639	0.0318612623512805	0.000705787457148619	0.000604960677555959	0.0488001613228473	0.00010082677959266
LLM.2013.09.24	0.00365333874568703	0.0472904404302821	0.00598741627765374	NA	0.00182666937284352	0.00131926121372032	0.000811853054597118	0.00436371016845951	0.348690886949462	0.0195859549421555	0.00010148163182464	0.135579460117719	0.0010148163182464	NA	0.0268926324335295	0.033793383397605	NA	0.0348081997158514	0.236350720519586	0.00436371016845951	0.00010148163182464	NA	0.0231378120560179	0.00497259995940735	0.00111629795007104	0.0367363507205196	0.000202963263649279	0.00121777958189568	0.0259792977471078	0.00010148163182464
