feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Burkholderiaceae	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2012.11.06	NA	0.0576219512195122	0.0641260162601626	0.00040650406504065	0.000508130081300813	0.0253048780487805	0.0032520325203252	0.000813008130081301	0.00447154471544715	0.0377032520325203	0.00274390243902439	NA	0.0548780487804878	NA	0.00538617886178862	0.0110772357723577	0.0345528455284553	0.00396341463414634	0.0146341463414634	0.000101626016260163	0.00233739837398374	0.000203252032520325	NA	0.000101626016260163	0.00833333333333333	0.0227642276422764	NA	0.000609756097560976	0.000508130081300813	NA	0.00304878048780488	0.00101626016260163	0.00416666666666667	0.000304878048780488	0.311382113821138	0.00680894308943089	0.0527439024390244	0.0599593495934959	0.000203252032520325	0.0353658536585366	0.14400406504065	0.0103658536585366	0.000304878048780488	0.00182926829268293	0.000304878048780488	0.000101626016260163	0.00813008130081301	0.00355691056910569
LLM.2013.01.26	NA	0.0318887980376124	0.270237121831562	0.000613246116107931	0.00153311529026983	0.0161488143908422	0.00122649223221586	0.000817661488143908	0.00398609975470155	0.00838103025347506	0.00204415372035977	NA	0.0819705641864268	0.000102207686017989	0.00245298446443172	0.0236099754701554	0.00102207686017989	0.0119582992641047	0.0606091578086672	0.000102207686017989	0.00909648405560098	NA	NA	0.000102207686017989	0.00858544562551104	0.0328086672117743	0.0228945216680294	0.00306623058053966	0.00112428454619787	NA	0.00786999182338512	0.00153311529026983	0.00183973834832379	0.00173753066230581	0.0121627146361406	0.0221790678659035	0.0401676206050695	0.0614268192968111	0.00572363041700736	0.0781888798037612	0.117027800490597	0.0217702371218316	0.00163532297628782	0.00480376124284546	0.000408830744071954	0.000102207686017989	0.0222812755519215	0.00275960752248569
LLM.2013.02.08	0.000407456453091576	0.0250585718651319	0.245899969440766	0.000101864113272894	0.00224101049200367	0.0150758887643883	0.00519506977691759	0.00122236935927473	0.0068248955892839	0.00621371090964653	0.00295405928491392	NA	0.10807782418254	0.00366710807782418	0.00397270041764286	0.029744321075685	0.00101864113272894	0.00855658551492309	0.0363654884384231	0.00224101049200367	0.00407456453091576	0.000101864113272894	0.000101864113272894	0.000101864113272894	0.00723235204237547	0.0275033105836814	0.000101864113272894	0.00295405928491392	0.000407456453091576	NA	0.00641743913619232	0.00152796169909341	0.0017316899256392	0.000407456453091576	0.129673016196394	0.0126311500458389	0.0510339207497199	0.0478761332382602	0.00152796169909341	0.0602016909442803	0.108892737088724	0.0155852093307528	0.00112050524600183	0.00723235204237547	0.000101864113272894	0.000101864113272894	0.0050932056636447	0.00142609758582052
LLM.2013.02.05	0.00297924799671255	0.0675981097185124	0.188514485309225	0.000513663447709061	0.00975960550647216	0.0129443188822683	0.00174645572221081	0.00267104992808712	0.0084240805424286	0.0181836860489008	0.0132525169508938	NA	0.10715019519211	0.0127388535031847	0.00349291144442161	0.0110951304705157	0.00102732689541812	0.00431477296075611	0.0385247585781796	0.00636942675159236	0.00236285185946168	0.0385247585781796	NA	0.000102732689541812	0.00883501130059585	0.0133552496404356	NA	0.00277378261762893	0.00123279227450175	NA	0.010376001643723	0.00369837682350524	0.00184918841175262	NA	0.0130470515718101	0.00678035750975961	0.037189233614136	0.0544483254571605	0.00184918841175262	0.0736593384014793	0.193342921717691	0.00678035750975961	0.000513663447709061	0.00585576330388329	NA	0.000308198068625437	0.00811588247380316	0.00369837682350524
LLM.2013.03.24	0.000303582270795386	0.0049585104229913	0.223132969034608	0.00131552317344667	0.00111313499291641	0.00748836267961951	0.0014167172637118	0.000607164541590771	0.0028334345274236	0.00930985630439182	0.00344059906901437	NA	0.108783647035013	0.000809552722121028	0.0099170208459826	0.0383525602104837	0.00101194090265129	0.00758955676988464	0.0326856911556365	0.000404776361060514	0.00364298724954463	0.0405788301963165	NA	0.000101194090265129	0.0183161303379883	0.0442218174458612	0.0417931592794981	0.00435134588140053	0.000101194090265129	NA	0.000809552722121028	0.00263104634689334	0.000404776361060514	0.00101194090265129	0.147338595426027	0.0021250758955677	0.0421979356405586	0.073264521351953	0.00161910544424206	0.0247925521149565	0.0479659987856709	0.00627403359643797	0.0035417931592795	0.00111313499291641	0.000303582270795386	NA	0.0345071847804088	0.00151791135397693
LLM.2013.04.07	0.0104642893426801	0.00497815706593518	0.206237935588743	0.000507975210809712	0.00223509092756274	0.00954993396322259	0.0033526363913441	0.000914355379457483	0.00426699177080159	0.0235700497815707	0.00558772731890684	NA	0.113278472010566	0.0149344711978055	NA	0.0266179010464289	0.00101595042161942	0.00863557858376511	0.0348470994615463	0.00538453723458295	0.00203190084323885	0.11033221578787	NA	0.000304785126485827	0.0226556944021132	0.0363710250939754	0.0205221985167124	0.00731484303565986	0.000203190084323885	NA	0.000507975210809712	0.00233668596972468	0.000914355379457483	0.000609570252971655	0.0908259676927766	0.00396220664431576	0.0309864878593925	0.061871380676623	0.00589251244539266	0.0315960581123641	0.0603474550441938	0.00487656202377324	0.00162552067459108	0.00121914050594331	0.00040638016864777	0.000101595042161943	0.0245860002031901	0.00121914050594331
LLM.2013.04.29	0.000304754164973588	0.00457131247460382	0.218508736286063	0.00101584721657863	0.00111743193823649	0.02661519707436	0.00335229581470947	0.00182852498984153	0.00558715969118245	0.0142218610321008	0.00436814303128809	NA	0.12261275904104	0.00121901665989435	NA	0.0316944331572531	0.00101584721657863	0.00558715969118245	0.0269199512393336	0.000406338886631451	0.00345388053636733	0.0441893539211703	NA	NA	0.0233644859813084	0.0274278748476229	0.0278342137342544	0.00487606663957741	0.000101584721657863	NA	0.000812677773262901	0.000914262494920764	0.00121901665989435	NA	0.0990451036164161	0.00832994717594474	0.0395164567249086	0.0880739536773669	0.000609508329947176	0.0308817553839902	0.0803535148313694	0.005180820804551	0.000304754164973588	0.00304754164973588	0.000609508329947176	NA	0.036265745631857	0.00264120276310443
LLM.2013.07.14	0.000201470736375541	0.00251838420469427	0.165709680668883	0.00130955978644102	0.00332426715019643	0.0139014808099124	0.0017125012591921	0.00120882441825325	0.0024176488365065	0.000906618313689937	0.00946912460965045	NA	0.104160370706155	0.000503676840938854	NA	0.0457338571572479	NA	0.00795809408683389	0.0455323864208724	0.000201470736375541	0.0115845673415936	0.0237735468923139	NA	NA	0.00493603304120077	0.066787549108492	NA	0.00292132567744535	0.000100735368187771	NA	0.00151103052281656	0.000705147577314395	0.00181323662737987	NA	0.156643497531984	0.0106779490279037	0.0253853127833182	0.103656693865216	0.00372720862294752	0.0476478291528156	0.0587287196534703	0.00967059534602599	0.00151103052281656	0.00251838420469427	0.000402941472751083	NA	0.0577213659715926	0.000805882945502166
LLM.2013.09.03	0.00010082677959266	0.000705787457148619	0.073502722323049	0.00373059084492841	0.00272232304900181	0.00846944948578342	0.00181488203266788	0.000907441016333938	0.0010082677959266	0.0281306715063521	0.00947771728171002	NA	0.150231901593063	0.00020165355918532	NA	0.0409356725146199	0.0020165355918532	0.00736035491026417	0.0218794111716072	0.00010082677959266	0.00322645694696511	0.0353901996370236	NA	0.00010082677959266	0.00241984271022384	0.0488001613228473	NA	0.00211736237144586	0.00010082677959266	NA	0.00110909457551926	0.000403307118370639	0.000907441016333938	NA	0.312764670296431	0.0101835047388586	0.0245009074410163	0.053337366404517	0.0275257108287961	0.0197620488001613	0.0412381528533979	0.0116959064327485	0.000403307118370639	0.000604960677555959	0.000504133897963299	NA	0.0488001613228473	0.000806614236741278
LLM.2013.09.24	NA	0.000202963263649279	0.0472904404302821	0.00598741627765374	0.00243555916379135	0.0102496448142886	0.00121777958189568	0.000811853054597118	0.00192815100466815	0.0339963466612543	0.00436371016845951	0.00223259590014207	0.137101684595088	0.00010148163182464	NA	0.0564237872944997	0.0010148163182464	0.0166429876192409	0.0268926324335295	0.00010148163182464	0.00243555916379135	0.033793383397605	NA	NA	0.00233407753196671	0.0258778161152831	NA	0.00365333874568703	0.00010148163182464	NA	0.00182666937284352	0.00010148163182464	0.000811853054597118	NA	0.34645829104932	0.0195859549421555	0.0231378120560179	0.0605845341993099	0.00497259995940735	0.0348081997158514	0.0567282321899736	0.00436371016845951	0.00111629795007104	0.00121777958189568	0.000304444895473919	NA	0.0259792977471078	0.000811853054597118
