"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Unclassified Enterobacteriaceae"	"DMM"	"DMM3"	"DMMDMM3"	4.01230022619484	-0.32416067819199	0.486030056646457	3.72146757854352e-13	8.60570503746771e-11	3.72146757854352e-13	5.15054665584103e-11	NA	"abundance"	156	156
"Unclassified Proteobacteria"	"DMM"	"DMM5"	"DMMDMM5"	4.96760545769674	-0.174568388781452	0.600928638009279	4.29212221320086e-13	8.60570503746771e-11	4.29212221320086e-13	5.15054665584103e-11	NA	"abundance"	156	152
"Dialister"	"DMM"	"DMM4"	"DMMDMM4"	-2.59389152197337	0.0814786249515754	0.337145766101211	1.56082480273767e-09	2.08630248632602e-07	1.56082480273767e-09	1.24865984219014e-07	NA	"abundance"	156	153
"Unclassified Christensenellaceae"	"DMM"	"DMM4"	"DMMDMM4"	-2.50550851132593	0.0814786249515754	0.367983704847578	2.69680341391521e-08	2.70354542244999e-06	2.69680341391521e-08	1.61808204834912e-06	NA	"abundance"	156	152
"Fusobacterium"	"DMM"	"DMM2"	"DMMDMM2"	3.34875653734248	0	0.625760663580866	8.72294121405291e-08	6.99579885367044e-06	1.74458816672088e-07	8.37402320026022e-06	NA	"prevalence"	156	85
"Parvimonas"	"DMM"	"DMM2"	"DMMDMM2"	4.88850497144125	0	0.920407465467841	1.08881810878356e-07	7.27693436037012e-06	2.17763609901464e-07	8.71054439605854e-06	NA	"prevalence"	156	74
"Clostridium"	"DMM"	"DMM2"	"DMMDMM2"	-1.96049121673633	0.122087243445568	0.294686449629927	2.93225453362744e-07	1.4271836357111e-05	2.93225453362744e-07	9.60946587635902e-06	NA	"abundance"	156	146
"Lachnospira"	"DMM"	"DMM4"	"DMMDMM4"	-1.97015257089626	0.0814786249515754	0.295060702099665	3.20315529211967e-07	1.4271836357111e-05	3.20315529211967e-07	9.60946587635902e-06	NA	"abundance"	156	154
"Fusobacterium"	"DMM"	"DMM4"	"DMMDMM4"	3.76821408233061	0	0.735332557267913	2.98323198193189e-07	1.4271836357111e-05	5.96646307389647e-07	1.59105681970573e-05	NA	"prevalence"	156	85
"Parvimonas"	"DMM"	"DMM4"	"DMMDMM4"	4.55923196078722	0	0.930542450721534	9.6060241071415e-07	3.85201566696374e-05	1.92120389867131e-06	4.19171759710104e-05	NA	"prevalence"	156	74
"Coprococcus"	"DMM"	"DMM4"	"DMMDMM4"	-2.32355372026402	0.0814786249515754	0.407837232612239	1.09685372218227e-06	3.99853038722808e-05	2.19370624127645e-06	4.38741248255289e-05	NA	"abundance"	156	155
"Providencia"	"DMM"	"DMM3"	"DMMDMM3"	-4.1038631204993	-0.32416067819199	0.680832899236985	1.38963235429834e-06	4.64368811728029e-05	1.38963235429834e-06	3.33511765031602e-05	NA	"abundance"	156	85
"Dialister"	"DMM"	"DMM2"	"DMMDMM2"	-1.81045675875925	0.122087243445568	0.306074850250754	2.58742087932973e-06	7.98119825085554e-05	2.58742087932973e-06	4.77677700799334e-05	NA	"abundance"	156	153
"Phascolarctobacterium"	"DMM"	"DMM4"	"DMMDMM4"	1.92424193250003	0.0814786249515754	0.298399022631602	3.86475278757459e-06	0.000110697561986958	3.86475278757459e-06	6.62529049298501e-05	NA	"abundance"	156	155
"[Prevotella]"	"DMM"	"DMM2"	"DMMDMM2"	8.29892718588609	0	1.84204637385278	6.62867525442805e-06	0.000157742882536242	6.62867525442805e-06	9.94301288164207e-05	NA	"prevalence"	156	82
"[Prevotella]"	"DMM"	"DMM4"	"DMMDMM4"	6.46234037197358	0	1.42765950484655	5.99607277045725e-06	0.000157742882536242	5.99607277045725e-06	9.5937164327316e-05	NA	"prevalence"	156	82
"Fusobacterium"	"DMM"	"DMM3"	"DMMDMM3"	2.59695862983465	0	0.576665685018384	6.68735412248408e-06	0.000157742882536242	1.3374663524263e-05	0.000178328846990173	NA	"prevalence"	156	85
"[Eubacterium]"	"DMM"	"DMM6"	"DMMDMM6"	5.57227378425805	-1.62367419828121	0.947009615264352	7.19825671824381e-06	0.000160361163556432	7.19825671824381e-06	0.000101622447786971	NA	"abundance"	156	57
"Phascolarctobacterium"	"DMM"	"DMM2"	"DMMDMM2"	1.7811093087499	0.122087243445568	0.274162916917699	1.6143822163861e-05	0.00034071961514254	1.6143822163861e-05	0.000203921964175086	NA	"abundance"	156	155
"Unclassified S24-7"	"DMM"	"DMM4"	"DMMDMM4"	-1.9139829104558	0.0814786249515754	0.379277632455641	1.91845246899636e-05	0.00038464972003377	1.91845246899636e-05	0.000230214296279563	NA	"abundance"	156	153
"Unclassified Proteobacteria"	"DMM"	"DMM6"	"DMMDMM6"	6.52233634840348	-1.62367419828121	1.53410400771535	2.72105102230302e-05	0.000519591171401672	2.72105102230302e-05	0.000310977259691774	NA	"abundance"	156	152
"Parvimonas"	"DMM"	"DMM3"	"DMMDMM3"	3.57708483805389	0	0.865828277004707	3.60557107452716e-05	0.000657197273129724	7.2110121476266e-05	0.000786655870650174	NA	"prevalence"	156	74
"Bifidobacterium"	"DMM"	"DMM2"	"DMMDMM2"	2.14694129323154	0	0.530372315635421	5.16595762827607e-05	0.000900673482147262	0.0001033164838537	0.001033164838537	NA	"prevalence"	156	99
"Unclassified Ruminococcaceae"	"DMM"	"DMM4"	"DMMDMM4"	-1.05099234316927	0.0814786249515754	0.146003995639828	9.76599333153416e-05	0.00163173471914383	9.76599333153416e-05	0.0010190601737253	NA	"abundance"	156	156
"Bifidobacterium"	"DMM"	"DMM5"	"DMMDMM5"	2.15708356322251	-0.174568388781452	0.547530327213165	0.000168145742211134	0.00259332471641019	0.000336263211431645	0.00278286795667568	NA	"abundance"	156	99
"Coprococcus"	"DMM"	"DMM3"	"DMMDMM3"	-2.05734936510678	-0.32416067819199	0.374712505203667	0.00016609553784952	0.00259332471641019	0.00016609553784952	0.00159451716335539	NA	"abundance"	156	155
"Bifidobacterium"	"DMM"	"DMM4"	"DMMDMM4"	2.19258144002607	0	0.587648234449177	0.00019063636431846	0.00283130304043342	0.000381236386413518	0.00285927289810139	NA	"prevalence"	156	99
"Unclassified Christensenellaceae"	"DMM"	"DMM3"	"DMMDMM3"	-1.89615085625474	-0.32416067819199	0.329868488852016	0.000203040969127932	0.00290783673643932	0.000203040969127932	0.00187422433041168	NA	"abundance"	156	152
"Prevotella"	"DMM"	"DMM4"	"DMMDMM4"	2.41695477639149	0.0814786249515754	0.568239225965229	0.000239206538640513	0.00330764903430502	0.000478355857512897	0.00347895169100289	NA	"abundance"	156	149
"Ruminococcus"	"DMM"	"DMM4"	"DMMDMM4"	-1.06403984647857	0.0814786249515754	0.188613815428872	0.000290386737841319	0.00388150272914564	0.000290386737841319	0.0025812154474784	NA	"abundance"	156	154
"Aggregatibacter"	"DMM"	"DMM4"	"DMMDMM4"	4.76441002619538	0	1.32176922537143	0.00031266987078132	0.00404453607042933	0.00031266987078132	0.00268002746383988	NA	"prevalence"	156	52
"[Prevotella]"	"DMM"	"DMM3"	"DMMDMM3"	4.65849133583106	0	1.30442663156094	0.000355221534023622	0.00445136984823352	0.000355221534023622	0.00284177227218898	NA	"prevalence"	156	82
"Blautia"	"DMM"	"DMM6"	"DMMDMM6"	-6.54686736893423	-1.62367419828121	0.8066942495105	0.000380454473645875	0.00462309830096957	0.000380454473645875	0.00285927289810139	NA	"abundance"	156	155
"Lachnospira"	"DMM"	"DMM2"	"DMMDMM2"	-1.18748855339545	0.122087243445568	0.271095736313116	0.000535277947817825	0.00631313109043964	0.000535277947817825	0.00377843257283171	NA	"abundance"	156	154
"Parabacteroides"	"DMM"	"DMM4"	"DMMDMM4"	1.16741046072277	0.0814786249515754	0.190428280002561	0.000576107007205007	0.00660054028254879	0.00115188211512626	0.00789862021800866	NA	"abundance"	156	154
"Unclassified Cyanobacteria"	"DMM"	"DMM4"	"DMMDMM4"	-1.66747749086122	0.0814786249515754	0.443834981749248	0.000726652013757101	0.00773229582811906	0.0014527760043651	0.00925222499113526	NA	"abundance"	156	140
"Bifidobacterium"	"DMM"	"DMM5"	"DMMDMM5"	2.35457118317819	0	0.695359495595534	0.000708881967090081	0.00773229582811906	0.000336263211431645	0.00278286795667568	NA	"prevalence"	156	99
"Methanobrevibacter"	"DMM"	"DMM3"	"DMMDMM3"	1.89881386545978	0	0.562273673934153	0.000732736263013776	0.00773229582811906	0.00146493562359642	0.00925222499113526	NA	"prevalence"	156	46
"Dorea"	"DMM"	"DMM2"	"DMMDMM2"	1.34402172756912	0.122087243445568	0.257949219176027	0.000851154169954516	0.00875161082440412	0.001701583876488	0.010209503258928	NA	"abundance"	156	154
"Dorea"	"DMM"	"DMM4"	"DMMDMM4"	1.30678301498764	0.0814786249515754	0.280752027867494	0.00121634630435608	0.0120901567169283	0.00243121311038003	0.0129664699220268	NA	"abundance"	156	154
"Aggregatibacter"	"DMM"	"DMM3"	"DMMDMM3"	4.20484597863031	0	1.30164677624184	0.00123615068676823	0.0120901567169283	0.00123615068676823	0.00824100457845489	NA	"prevalence"	156	52
"Unclassified Tenericutes"	"DMM"	"DMM2"	"DMMDMM2"	1.41655893679669	0.122087243445568	0.309805054031646	0.00141102178690766	0.0134718984892851	0.0028200525913322	0.0147133178678202	NA	"abundance"	156	149
"Aggregatibacter"	"DMM"	"DMM2"	"DMMDMM2"	4.09408120725557	0	1.30164677624184	0.001659115400649	0.0154722157130291	0.001659115400649	0.010209503258928	NA	"prevalence"	156	52
"Unclassified Coriobacteriaceae"	"DMM"	"DMM2"	"DMMDMM2"	1.27642326948519	0.122087243445568	0.267654298363362	0.00194245594158682	0.0177028371040071	0.00388113874808863	0.0197152375467991	NA	"abundance"	156	149
"Phascolarctobacterium"	"DMM"	"DMM5"	"DMMDMM5"	-1.46517645680108	-0.174568388781452	0.336193913594219	0.00202772015132657	0.0180692395707101	0.00405132865364105	0.0198432423851807	NA	"abundance"	156	155
"Akkermansia"	"DMM"	"DMM6"	"DMMDMM6"	-6.75747982550159	-1.62367419828121	1.25245313920634	0.00234687375932818	0.0194743378259282	0.00234687375932818	0.0129664699220268	NA	"abundance"	156	156
"Bacteroides"	"DMM"	"DMM4"	"DMMDMM4"	0.989661058453625	0.0814786249515754	0.161758138446875	0.00224756758066169	0.0194743378259282	0.00224756758066169	0.0129664699220268	NA	"abundance"	156	156
"Coprococcus"	"DMM"	"DMM6"	"DMMDMM6"	-7.70149762503364	-1.62367419828121	1.63905492010029	0.00237965724057476	0.0194743378259282	0.00237965724057476	0.0129664699220268	NA	"abundance"	156	155
"Methanobrevibacter"	"DMM"	"DMM2"	"DMMDMM2"	2.37070813221342	0.122087243445568	0.648405800958198	0.00235759810431546	0.0194743378259282	0.00235759810431546	0.0129664699220268	NA	"abundance"	156	46
"Providencia"	"DMM"	"DMM2"	"DMMDMM2"	4.14946359294298	0	1.38078467779395	0.00265450841061162	0.0212891574531052	0.00530197040632124	0.0249504489709235	NA	"prevalence"	156	85
"Bifidobacterium"	"DMM"	"DMM3"	"DMMDMM3"	1.44689246420097	0	0.485878386835309	0.00290239983524841	0.0228208300771493	0.00579637574569318	0.0262477392257804	NA	"prevalence"	156	99
"Unclassified Burkholderiaceae"	"DMM"	"DMM2"	"DMMDMM2"	3.75692190067678	0	1.30327290742063	0.00394304750935983	0.0304069625241017	0.00394304750935983	0.0197152375467991	NA	"prevalence"	156	19
"[Ruminococcus]"	"DMM"	"DMM5"	"DMMDMM5"	-1.31401045151031	-0.174568388781452	0.31587949738229	0.00442960595046626	0.0335145657761693	0.00883959049205612	0.0385727585107904	NA	"abundance"	156	155
"Unclassified Proteobacteria"	"DMM"	"DMM2"	"DMMDMM2"	1.68809332557619	0.122087243445568	0.490051549400913	0.00490436684382822	0.0364194648958355	0.00490436684382822	0.0235409608503755	NA	"abundance"	156	152
"Unclassified Christensenellaceae"	"DMM"	"DMM2"	"DMMDMM2"	-1.05278167215062	0.122087243445568	0.329868488852017	0.00523810835069316	0.0381905717932356	0.0104487789222927	0.0439948586201799	NA	"abundance"	156	152
"Prevotella"	"DMM"	"DMM3"	"DMMDMM3"	1.27649199104464	-0.32416067819199	0.509974421409963	0.00541993681442055	0.03881061897469	0.00541993681442055	0.0250150929896333	NA	"abundance"	156	149
"Methanobrevibacter"	"DMM"	"DMM3"	"DMMDMM3"	1.62229501623654	-0.32416067819199	0.629160971589492	0.00628158715309857	0.0441915166384654	0.00146493562359642	0.00925222499113526	NA	"abundance"	156	46
"Unclassified Rikenellaceae"	"DMM"	"DMM2"	"DMMDMM2"	-0.719034376059767	0.122087243445568	0.173864221473063	0.00641702138165967	0.0443659581731988	0.00641702138165967	0.0285200950295985	NA	"abundance"	156	154
"Phascolarctobacterium"	"DMM"	"DMM3"	"DMMDMM3"	0.640358006272892	-0.32416067819199	0.274162916917698	0.00979269119131032	0.0665571045375498	0.0194894855818523	0.0766799432728614	NA	"abundance"	156	155
"Bilophila"	"DMM"	"DMM4"	"DMMDMM4"	0.964136303802988	0.0814786249515754	0.237806243065333	0.0102001687659496	0.0670535684450133	0.0102001687659496	0.0437150089969271	NA	"abundance"	156	153
"[Eubacterium]"	"DMM"	"DMM4"	"DMMDMM4"	1.35799784338512	0	0.528268863949822	0.0101505921826035	0.0670535684450133	0.0201981498435494	0.078186386491159	NA	"prevalence"	156	57
"Unclassified [Barnesiellaceae]"	"DMM"	"DMM5"	"DMMDMM5"	-1.22383614264066	-0.174568388781452	0.333044859949282	0.0111313101863324	0.0708516727733221	0.0111313101863324	0.0460605938744789	NA	"abundance"	156	153
"Unclassified Lachnospiraceae"	"DMM"	"DMM6"	"DMMDMM6"	-4.52150479289209	-1.62367419828121	0.322027216314199	0.0115667482288151	0.0724729068711696	0.0115667482288151	0.047051179235858	NA	"abundance"	156	156
"Veillonella"	"DMM"	"DMM3"	"DMMDMM3"	1.21615723940349	0	0.489953666269291	0.0130578266590285	0.0805567460041606	0.0259451464809998	0.0966647065306673	NA	"prevalence"	156	91
"Lachnospira"	"DMM"	"DMM5"	"DMMDMM5"	0.824042757136333	-0.174568388781452	0.332432765067102	0.014953344798446	0.0908528979420735	0.0296830870762308	0.0993418692805618	NA	"abundance"	156	154
"Unclassified Cyanobacteria"	"DMM"	"DMM2"	"DMMDMM2"	-0.999953974592028	0.122087243445568	0.390043842344034	0.0166920316491681	0.0999030550942748	0.0331054393777594	0.107368992576517	NA	"abundance"	156	140
"Methanobrevibacter"	"DMM"	"DMM4"	"DMMDMM4"	1.89738987516288	0.0814786249515754	0.694187632472854	0.0178448983193262	0.10370730762391	0.0178448983193262	0.0713795932773049	NA	"abundance"	156	46
"Fusobacterium"	"DMM"	"DMM4"	"DMMDMM4"	2.56653440327749	0.0814786249515754	1.07793637162668	0.0271001162026263	0.124803656140068	5.96646307389647e-07	1.59105681970573e-05	NA	"abundance"	156	85
"Oscillospira"	"DMM"	"DMM4"	"DMMDMM4"	-0.562101522210816	0.0814786249515754	0.158106785432795	0.0273883335170224	0.124803656140068	0.0273883335170224	0.0966647065306673	NA	"abundance"	156	156
"Unclassified Enterobacteriaceae"	"DMM"	"DMM6"	"DMMDMM6"	2.55109248123636	-1.62367419828121	1.52151474407737	0.0265842815525019	0.124803656140068	0.0265842815525019	0.0966647065306673	NA	"abundance"	156	156
"Unclassified Firmicutes"	"DMM"	"DMM5"	"DMMDMM5"	0.471606763190749	-0.174568388781452	0.169223295708523	0.0271078350340281	0.124803656140068	0.0271078350340281	0.0966647065306673	NA	"abundance"	156	156
"[Prevotella]"	"DMM"	"DMM6"	"DMMDMM6"	4.14946359294295	0	1.8765263455888	0.0270187247452475	0.124803656140068	0.0270187247452475	0.0966647065306673	NA	"prevalence"	156	82
"Serratia"	"DMM"	"DMM2"	"DMMDMM2"	-3.09184064880805	0	1.39150415140265	0.0262872677107376	0.124803656140068	0.0262872677107376	0.0966647065306673	NA	"prevalence"	156	29
"Akkermansia"	"DMM"	"DMM3"	"DMMDMM3"	-1.36132695981661	-0.32416067819199	0.40008147969977	0.0286836041128589	0.129237362351196	0.0286836041128589	0.0993418692805618	NA	"abundance"	156	156
"Providencia"	"DMM"	"DMM5"	"DMMDMM5"	-4.14946359294298	0	1.90149964875866	0.0290943462507564	0.129631476072815	0.0290943462507564	0.0993418692805618	NA	"prevalence"	156	85
"Unclassified Rikenellaceae"	"DMM"	"DMM4"	"DMMDMM4"	-0.592031962183063	0.0814786249515754	0.189233884514515	0.0298025607841685	0.131327767851116	0.0298025607841685	0.0993418692805618	NA	"abundance"	156	154
"Fusobacterium"	"DMM"	"DMM2"	"DMMDMM2"	2.21472980973106	0.122087243445568	1.0578363538488	0.057675235405091	0.222382398052322	1.74458816672088e-07	8.37402320026022e-06	NA	"abundance"	156	85
"Unclassified Cyanobacteria"	"DMM"	"DMM4"	"DMMDMM4"	-2.52504412689331	0	1.36179575807031	0.0637102966695648	0.234383751967895	0.0014527760043651	0.00925222499113526	NA	"prevalence"	156	140
"[Eubacterium]"	"DMM"	"DMM4"	"DMMDMM4"	0.88309690450233	0.0814786249515754	0.499117891719186	0.151041903002885	0.40812929858743	0.0201981498435494	0.078186386491159	NA	"abundance"	156	57
"Fusobacterium"	"DMM"	"DMM3"	"DMMDMM3"	1.03430632120223	-0.32416067819199	1.07391870438008	0.218303680736694	0.537053840339966	1.3374663524263e-05	0.000178328846990173	NA	"abundance"	156	85
"Bifidobacterium"	"DMM"	"DMM2"	"DMMDMM2"	-0.527269972104095	0.122087243445568	0.487778784119022	0.234268372100279	0.559176292929833	0.0001033164838537	0.001033164838537	NA	"abundance"	156	99
"Providencia"	"DMM"	"DMM2"	"DMMDMM2"	-0.396141649241691	0.122087243445568	0.456198480055346	0.314321844007539	0.673508366676197	0.00530197040632124	0.0249504489709235	NA	"abundance"	156	85
"Unclassified Coriobacteriaceae"	"DMM"	"DMM2"	"DMMDMM2"	1.4663163825461	0	1.48801610321083	0.324419276625372	0.68111062788887	0.00388113874808863	0.0197152375467991	NA	"prevalence"	156	149
"Parvimonas"	"DMM"	"DMM4"	"DMMDMM4"	1.8128808219404	0.0814786249515754	2.09380463191775	0.409153333628633	0.781288032309913	1.92120389867131e-06	4.19171759710104e-05	NA	"abundance"	156	74
"Prevotella"	"DMM"	"DMM4"	"DMMDMM4"	-0.871666366757045	0	1.04371930892514	0.403630999782064	0.781288032309913	0.000478355857512897	0.00347895169100289	NA	"prevalence"	156	149
"Veillonella"	"DMM"	"DMM3"	"DMMDMM3"	0.0502891071279507	-0.32416067819199	0.401714937340136	0.419840167720019	0.794131637998716	0.0259451464809998	0.0966647065306673	NA	"abundance"	156	91
