feature	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52
LLM.2012.11.06	NA	NA	-1.68324201830164	-3.96294640524405	-2.79581855730858	-4.11723767528437	-4.94251450533924	-10.2644426002266	-12.2644426002266	-4.82149910437787	-4.18762700317577	-4.11469548072192	-6.49625827544968	-5.30444066815852	-8.35755200461808	-4.8550516640889	-6.09451759878429	NA	-5.457087678169	-6.94251450533924	-8.13515958328164	NA	-4.7291672236058	-8.50955509806313	-6.90689059560852	-7.19835340976883	-6.59201725825511	-13.2644426002266	-12.2644426002266	NA	-9.09451759878429	-8.74088064416959	NA	-10.6794800995054	-10.9425145053392	-11.6794800995054	-5.62781797968295	-7.97904038136435	-13.2644426002266	-7.80501098158931	-8.80501098158931	-11.6794800995054	NA	-10.9425145053392	-13.2644426002266	-9.94251450533924	-7.90689059560852	-8.2644426002266	-11.6794800995054	NA	-11.2644426002266	-7.5365221456634
LLM.2013.01.26	NA	NA	-6.36139092521944	-1.8877022270197	-3.09507680554308	-4.97080646966514	-5.08628368708507	-10.2562086885274	NA	-3.67689275094737	-3.60875026207247	-4.10139057947528	-5.40445964711133	-5.95242794035028	-6.98942214783249	-9.93428059364002	-4.04432039398138	NA	-4.92977920140508	-5.48802436375046	-8.50132118636392	-5.44885376646978	-6.8986566839093	-8.93428059364002	-6.86389126574863	-5.49465745608291	-5.52149906830155	-13.2562086885274	-7.44885376646978	-13.2562086885274	-7.70161983684975	-6.78047525756099	NA	-8.34931809291887	-9.34931809291887	-9.16874584727705	-6.54196317086126	-6.38584396894398	-13.2562086885274	-7.97080646966514	-8.30201237814051	-9.25620868852739	NA	-9.79677706989009	-13.2562086885274	-9.34931809291887	-9.08628368708507	-9.67124618780623	-11.2562086885274	NA	-10.6712461878062	-8.67124618780623
LLM.2013.02.08	-11.6761039992782	NA	-2.94704979609804	-2.02385653924437	-3.1990203622789	-5.31855199466015	-4.81812300415066	-9.67610399927824	-13.2610664999994	-4.05405217982186	-3.20985755908463	-4.41557644905502	-5.07124194111938	-6.05161313437044	-7.28378657649948	-9.93913840511203	-4.78128623597029	-13.2610664999994	-5.18425090294856	-7.61721031022467	-9.45371157794179	-13.2610664999994	-7.33032916243651	-8.40308550487182	-7.11131938049471	-6.30687018961252	-6.00367865730674	-13.2610664999994	-9.67610399927824	-8.09114149855708	-7.11131938049471	-7.93913840511203	NA	-8.40308550487182	-8.8016348813621	-11.2610664999994	-6.00367865730674	-6.86874907722063	-13.2610664999994	-7.19497730954162	-9.93913840511203	-9.8016348813621	NA	-11.2610664999994	-8.8016348813621	-9.35417590439087	-9.17360365874905	-7.5886411580279	-13.2610664999994	-11.2610664999994	-13.2610664999994	-7.97566428113714
LLM.2013.02.05	-10.9268889643911	-7.63410721516329	-6.96341484041625	-2.40725271154793	-2.37076614654997	-3.88687328554326	-4.7893854406412	-8.54837734113741	-4.69807027389526	-3.7629877505766	-3.22229361675874	-4.22922633092062	-6.49392955711503	-6.27153713577859	-6.59060557652671	-9.92688896439114	-4.69807027389526	NA	-6.22644924625005	-6.9450363111014	-8.07889205783619	NA	-5.78121150919551	-6.23758980385525	-6.8225523045764	-7.20442293992005	-7.20442293992005	-13.2488170592785	-9.54837734113741	-6.29462074889163	-7.41592704511376	-8.72525510322149	NA	-8.49392955711503	-6.67896145094755	NA	-9.92688896439114	-7.85649963649974	-11.6638545585573	-6.89126505466042	-9.7893854406412	-10.9268889643911	NA	-9.66385455855735	-7.29462074889163	-8.07889205783619	-9.07889205783619	-9.16135421802816	NA	-8.39083606415093	-10.9268889643911	-8.16135421802816
LLM.2013.03.24	NA	-9.46323241838991	-2.77673189120669	-2.16402440000263	-4.38184409154925	-7.6558774963323	-4.93519698575359	-10.6856248397264	-4.62312891399259	-5.33394940144494	-3.20046639597069	-3.80094552320799	-4.70453330227642	-7.06113397481856	-10.2705873404475	-9.94865924556015	-4.93519698575359	NA	-4.49909787094691	-4.85695941142334	-9.36369674483899	-4.58058936902807	-6.7470253843905	-8.18312449919717	-5.77074145336431	-8.87826991766875	-7.31639103006064	-13.2705873404475	-9.27058734044751	-10.2705873404475	-9.81115572181021	-8.1006623390052	NA	-7.84432258574541	-9.81115572181021	-9.94865924556015	-6.71599848876987	-7.04176864995163	NA	-8.46323241838991	-9.36369674483899	-8.14130432350255	NA	-13.2705873404475	-11.2705873404475	-8.57014762230642	-11.2705873404475	-9.46323241838991	-11.6856248397264	-11.6856248397264	-9.57014762230642	-6.6558774963323
LLM.2013.04.07	-13.2648823792396	NA	-3.46075135805626	-2.27761836716704	-4.05056325843881	-7.65017253512437	-5.2592578300457	-10.0949573777973	-3.18007399143521	-4.98411160910897	-3.14205438443191	-4.03847018645079	-5.23145937770213	-6.71029352756194	-10.9429542843522	-9.94295428435221	-4.84281761306676	NA	-4.78106660197532	-5.34601914196498	-9.67991987851842	-5.60667089648778	-5.406901384112	-7.48352266571492	-5.46398247931927	-7.97948016037733	-7.67991987851842	-11.6799198785184	-7.43199236507483	-6.06521003440321	-9.67991987851842	-8.94295428435221	NA	-7.09495737779726	-8.80545076060228	-10.6799198785184	-7.67991987851842	-6.85549144310187	-13.2648823792396	-7.87256495646082	-9.94295428435221	-9.26488237923958	NA	-12.2648823792396	-7.53696192467638	-8.74132042318256	-10.0949573777973	-8.22048825988112	-11.2648823792396	-6.57838185205636	-10.9429542843522	NA
LLM.2013.04.29	NA	-13.2650289424582	-3.33725098037582	-2.1942371330351	-3.63749505798537	-7.77317584612848	-4.73755193639776	-9.09510394101585	-4.50015735172207	-5.01710142901457	-3.02781898170314	-3.52693668283767	-4.97962672359591	-5.23160594092071	-10.2650289424582	-9.9431008475708	-5.2151803930076	NA	-5.18821334540733	-4.78524867842906	-8.56458922431707	-5.16699685949763	-6.13574592551319	-7.83876418775606	-5.41953889151378	-6.90747693784008	-7.59260360048666	NA	-10.680066441737	-9.680066441737	-8.35813834684964	-8.17756610120782	NA	-7.680066441737	-9.80559732382086	NA	-8.9431008475708	-7.4836692289335	NA	-7.4836692289335	-9.56458922431707	-11.680066441737	NA	-13.2650289424582	-11.2650289424582	-10.0951039410158	-9.680066441737	-8.22063482309971	-10.680066441737	-11.680066441737	-9.9431008475708	NA
LLM.2013.07.14	NA	NA	-2.67444321201573	-2.59327020841109	-4.0897900038332	-8.63328588725897	-5.34640473947081	-9.69217957631254	-5.39449902767185	-4.3914457036943	-3.26312160671876	-3.54412675534773	-4.45059358974278	-6.16861762025553	-9.37025148142518	NA	-4.45696311461851	NA	-3.90427701692111	-4.11475074827679	-10.2771420770337	NA	-10.1072170755914	-6.72255322535606	-7.66243223291849	-6.5492216224705	-6.69217957631254	NA	-8.06768871140475	-10.9552139821463	-8.63328588725897	-6.43165202608932	NA	-8.41916108190612	-8.23274795767524	NA	-10.2771420770337	-6.97336132885659	NA	-8.69217957631254	-5.8014086460673	-9.37025148142518	NA	-13.2771420770337	-12.2771420770337	-10.4697871549761	-9.10721707559138	-9.18967923578336	-11.2771420770337	-12.2771420770337	-9.5767023588926	NA
LLM.2013.09.03	NA	NA	-1.67685053897738	-3.76605850568653	-4.59987647707172	-10.4684785879559	-5.36894291440495	-10.1059085085712	-4.82050628970891	-5.66112366589826	-2.73473689466395	-4.23965989745999	-4.61049759282829	-6.88351608723471	-9.81640189137617	-8.95390541512611	-5.51428227756899	NA	-4.35697027273888	-4.35697027273888	-10.2758335100135	NA	-5.15171219818428	-6.72124465833583	-8.69087100929231	-6.61762202726168	-6.4178525148859	-13.2758335100135	-5.18307636909362	-12.2758335100135	-10.6908710092923	-8.27583351001347	NA	-8.88351608723471	-8.52094600785	NA	-11.6908710092923	-7.08600895113345	NA	-9.95390541512611	-11.2758335100135	-11.2758335100135	NA	-13.2758335100135	-13.2758335100135	-11.2758335100135	-10.1059085085712	-9.10590850857116	-10.9539054151261	-13.2758335100135	-8.06638014438452	NA
LLM.2013.09.24	NA	-5.16320594790016	-1.65040444273007	-4.4023076116579	-4.13978928346899	-12.2664937563122	-5.47207788996208	-10.2664937563122	-4.88711538924092	-4.84442899013937	-2.8666817969865	-4.04974789811688	-4.14755268358868	-6.60828227356039	-9.09656875486987	-9.94456566142482	-5.21664520686162	NA	-5.27214031945333	-5.26649375631218	-10.2664937563122	NA	-4.87847647096705	-7.84022900161009	-8.74293180025517	-5.6740367190441	-7.84022900161009	NA	-7.65178391219698	-13.2664937563122	-9.68153125559103	-8.68153125559103	-8.80706213767489	-8.09656875486987	-8.68153125559103	NA	-10.681531255591	-5.9089417516941	NA	-9.0185662428686	-12.2664937563122	-9.80706213767489	NA	-13.2664937563122	-13.2664937563122	-13.2664937563122	-10.2664937563122	-9.68153125559103	-11.681531255591	NA	-7.38385070695034	NA
LLM.2013.11.10	NA	-5.23108426408614	-2.21947434784789	-3.1865239260466	-4.51178003865172	-10.9480751584911	-4.71541440170081	-10.4626483313208	-3.63882619767447	-4.56609967993378	-3.57825973420717	-3.9413283260505	-4.46264833132084	-6.89496382203152	-9.94807515849108	NA	-5.06543210912924	NA	-4.590523153873	-3.7543034150944	-10.2700032533784	NA	-6.10007825193613	-7.46264833132084	-8.18254041212811	-6.91245124876036	-6.87768583059968	NA	-5.56956353523735	-13.2700032533784	-9.46264833132084	-7.33926591581556	-8.87768583059968	-9.02207573993486	-9.36311265776992	NA	-10.6850407526573	-6.54208279881524	-13.2700032533784	-9.68504075265729	NA	-9.27000325337844	NA	NA	NA	-12.2700032533784	-13.2700032533784	-10.1000782519361	-12.2700032533784	NA	-8.46264833132084	NA
LLM.2013.12.14	NA	NA	-2.0477924375794	-2.87184364850932	-3.71984055506427	-7.14130432350254	-5.04176864995163	-9.94865924556015	-7.62673115067279	-3.99446293517327	-3.7392058799312	-3.92629143253169	-5.94865924556015	-6.94865924556015	-7.62673115067279	-9.94865924556015	-3.88257005510238	NA	-4.99446293517327	-4.06601619619831	-8.94865924556015	NA	-6.48922762692285	-8.94865924556015	NA	-6.94865924556015	-6.14130432350254	NA	-5.19377174339668	NA	-8.94865924556015	-6.94865924556015	NA	-8.36369674483899	-7.94865924556015	NA	NA	-7.36369674483899	NA	-8.36369674483899	-9.94865924556015	NA	NA	-9.94865924556015	NA	-9.94865924556015	-9.94865924556015	-7.94865924556015	NA	NA	-6.59816199847602	NA
LLM.2014.01.19	-10.6532929453828	NA	-5.00943675560809	-2.66839983777302	-3.65329294538281	-2.70395256364934	-4.77064989602097	-6.71469349004696	-7.65329294538282	-3.31344294249819	-4.79117221989432	-4.18568739529982	-4.82040293121807	-5.10382912588304	-8.99032793266039	-9.91632735121661	-3.16679308354735	NA	-5.49006259651451	-6.03858310126761	-7.99032793266039	NA	-6.2840591357171	-8.33136485049545	-9.53781572796288	-6.11931437338046	-10.238255446104	-12.238255446104	-4.94363469721234	-7.91632735121661	-7.62354560198876	-10.9163273512166	NA	-8.4833679439405	-7.08850832659929	NA	-7.62354560198876	-7.84593802332521	-12.238255446104	-7.4833679439405	-8.53781572796288	-8.91632735121661	NA	-10.6532929453828	-10.6532929453828	-9.23825544610397	-9.43090052404637	-8.19386132674552	NA	-10.6532929453828	-9.23825544610397	NA
LLM.2014.02.17	-13.2632692003727	-12.2632692003727	-2.83281664870713	-2.21410132800049	-2.91233001882623	-4.31490196878798	-4.81205808854033	-5.12371784797387	-7.90571719575458	-3.54730721011752	-5.2689157635138	-4.77542916654961	-6.75547456017397	-6.8709517775939	-6.44309023795747	-9.9413411054853	-4.09084169172718	NA	-5.76342331328946	-6.33253186280978	-8.09334419893035	NA	-9.09334419893035	-6.21887508101421	-9.09334419893035	-6.36845143706472	-7.97786698151041	-9.35637860476414	-5.72411038926463	-6.92341919748804	-6.45591427831506	-6.53534874580946	NA	-7.73970724431565	-7.05381583474371	NA	-11.2632692003727	-7.83700444567056	-13.2632692003727	-8.50838169820919	-10.9413411054853	-7.26326920037266	NA	-8.35637860476414	-8.61941301059794	-9.9413411054853	-8.80383758173537	-9.80383758173537	NA	NA	NA	NA
LLM.2014.03.23	NA	NA	-2.57824752635202	-2.64990446597108	-3.6618924132036	-4.6453201118089	-4.37862868236701	-5.21752338181471	-6.12782057886648	-4.48273708570775	-3.43448191710053	-4.6020360140801	-5.17461479034542	-7.01944441782169	-7.59494658929378	-9.94544383637791	-3.98660116113467	NA	-5.3190046996806	-5.2958283773145	-9.80794031262798	NA	-7.38472888190343	-8.68240943054412	-8.3131756208784	-5.83274370362855	-5.4218818803209	NA	-4.74773567842206	-13.2673719312653	-8.13808891432031	-7.01944441782169	NA	-7.65266208715007	-8.62351574149055	NA	-12.2673719312653	-6.60916044851348	NA	-8.94544383637791	-10.097446929823	-7.59494658929378	NA	-10.6824094305441	-13.2673719312653	-9.94544383637791	-10.2673719312653	-11.2673719312653	-12.2673719312653	-13.2673719312653	NA	NA
LLM.2014.05.04	NA	NA	-2.06483930806617	-3.21656887889387	-2.72432078586762	-4.65596981750223	-5.75975027540522	-6.05992381765206	-6.46518029613832	-3.57835775071062	-4.84596823346425	-4.6157399727137	-6.38923144290502	-6.55915644434733	-7.17213332123808	-7.93766806760106	-4.1563083540764	-13.2595961624884	-5.49804493004394	-6.47823644896376	-7.23722834945997	NA	-6.22617316095097	-4.93316667536612	-13.2595961624884	-5.92867928437381	-7.58717082051693	NA	-8.3527055668799	-8.93766806760106	-7.17213332123808	-6.58717082051693	NA	-7.83333140778632	-7.21520204312997	NA	-13.2595961624884	-7.25959616248842	-10.2595961624884	-7.53167570792522	-10.4522412404308	-8.40161516736085	NA	-8.73603420643141	-9.67463366176727	-9.3527055668799	-8.6157399727137	-9.01166864904484	-13.2595961624884	-10.6746336617673	-10.9376680676011	NA
LLM.2014.06.16	NA	NA	-2.60854610787015	-3.14960092757662	-3.99707897239575	-4.33485134534789	-5.30275771563804	-4.08614764689559	-4.37069654429461	-3.47412613395002	-4.72164754041249	-4.554296482634	-5.69868639196918	-6.96476125212302	-9.80911038166283	NA	-4.00175545960522	NA	-5.39202505373512	-3.67048950013852	-9.46118707824252	NA	-6.58204147311691	-8.09861699885781	-9.46118707824252	-7.56810228215903	-4.57854402888068	NA	-6.71395314862249	-12.2685420003001	-8.02061448685654	-7.77668890397045	NA	-7.02061448685654	-9.18107915904978	-7.59611665832863	-10.9466139054128	-6.87622457752136	NA	-9.18107915904978	-10.2685420003001	-8.51365449813665	NA	-11.2685420003001	NA	-10.9466139054128	-10.2685420003001	-9.18107915904978	-12.2685420003001	-13.2685420003001	-13.2685420003001	-13.2685420003001
LLM.2014.07.24	-13.2666401559308	NA	-5.80720853729355	-2.60219287138288	-3.28364658123654	-3.44646119351566	-4.47547726737583	-5.99051575065661	-4.51175265376738	-3.54725133498877	-3.55239463826473	-4.11182204687874	-5.81542904409852	-5.56620043778976	-7.84037540122875	-9.94471206104349	-4.5421263028109	NA	-5.33000221692828	-4.98586938580025	-7.9812379370686	-9.09671515448854	-8.45928523387324	-4.87003537474899	-9.80720853729355	-7.07681559705083	-6.65193031181564	-11.6816776552097	-6.53871970136765	-9.68167765520969	-6.48528044240619	-6.53871970136765	NA	-7.45928523387324	-8.0571867903019	-6.56620043778976	-13.2666401559308	-7.03782146543497	-11.2666401559308	-6.84037540122875	-9.94471206104349	-7.87432273315209	NA	-10.0967151544885	-10.4592852338732	-9.94471206104349	-9.35974956032233	-8.74307819987384	-13.2666401559308	-9.01871264248726	-13.2666401559308	NA
LLM.2014.08.22	NA	NA	-4.22642600824412	-3.38364903197568	-3.42420313032632	-6.38672842490765	-3.57761304498561	-4.48560367499046	-5.74929850429236	-4.78135971352466	-2.72376341218522	-3.0660339299594	-5.08216746199038	-4.72181776787025	-9.55665342634997	-8.93516504960369	-5.09218621781537	NA	-4.08216746199038	-6.35020254888254	-6.50220564232759	NA	-7.4757334309664	-6.64238330037585	-7.79766152585376	-5.98096873921682	-6.78135971352466	NA	-5.74139330620701	NA	-8.39911214936349	-7.52917268992786	NA	-7.16963030324072	-8.79766152585376	-8.04763977886211	-13.2570931444911	-7.64238330037585	-13.2570931444911	-7.32635580692817	-8.50220564232759	-9.08716814304874	NA	-13.2570931444911	-13.2570931444911	-10.9351650496037	-7.8647757217123	-9.16963030324072	-12.2570931444911	-13.2570931444911	-10.0871681430487	NA
LLM.2014.08.25	NA	-7.72688451408824	-5.07552078764457	-2.31970913258237	-3.12761847533759	-3.32860553307076	-4.35562870683731	-6.09057513336686	-6.34355587453673	-3.48391756154639	-3.25044647014525	-4.03370061194995	-5.38008175056185	-5.59223498739346	-7.75859337381558	-7.60659028037053	-4.83259395525935	NA	-5.07552078764457	-7.08052146870294	-8.16298362889491	NA	-8.0409931045163	-7.31970913258237	-8.92851837525789	-6.53620095247913	-7.34355587453673	-13.2504464701453	-8.55000675200416	-10.9285183752579	-7.02162777964937	-6.05077412530889	NA	-7.89289446552717	-9.00251895670167	-12.2504464701453	-10.6654839694241	-8.25044647014525	-10.2504464701453	-9.79101485150795	-8.55000675200416	-8.0409931045163	NA	-8.6654839694241	-9.16298362889491	-9.92851837525789	-6.72688451408824	-10.6654839694241	NA	NA	-10.2504464701453	NA
LLM.2014.09.28	-6.04395687279021	NA	-2.62982133980575	-2.76498092308739	-4.26715101409221	-8.10285056184378	-4.32149084831912	-4.52458271369663	-3.915223558668	-5.06332219765714	-3.25457538447286	-3.55509914021969	-5.95084746839872	-6.12302844378141	-10.1028505618438	-9.95084746839872	-5.88045814050733	NA	-4.69534673525034	-4.25596727559953	-8.51788806112262	NA	-6.73361675217806	-8.46542064122848	-6.31857925289921	-7.0248480498425	-5.94185868517147	NA	-6.55853004561996	-13.2727755632861	-8.68781306256493	-7.25040775025763	NA	-7.88045814050733	-9.18531272203575	-7.39013251392425	-13.2727755632861	-6.96899481510898	NA	-8.62891937351136	-10.1028505618438	-10.1028505618438	NA	-13.2727755632861	-13.2727755632861	-9.18531272203575	-9.95084746839872	-9.36588496767757	-10.6878130625649	NA	-12.2727755632861	NA
LLM.2014.11.16	-7.14887601449227	NA	-2.68944439585497	-3.18408134576533	-4.18012694847671	-8.63430284166251	-4.76640637766986	-4.24473602989979	-2.97437828326014	-5.61994754868544	-3.18804661177295	-3.26135074375068	-5.59867893193179	-6.15921795871373	-10.2781590314372	-9.95623093654988	-5.53669204503609	-13.2781590314372	-5.25579121840878	-4.82694791960491	-7.85189427673514	NA	-5.70830342310629	-7.52327152927377	-7.12841191193256	-7.06870566580829	-6.75459707538023	NA	-10.2781590314372	-8.69319653071608	-9.81872741279994	-7.16963457465907	NA	-7.66344918732203	-8.52327152927377	-8.95623093654988	-13.2781590314372	-6.88584160865848	NA	-8.27815903143724	-7.16963457465907	-9.03023151799365	NA	NA	-9.95623093654988	-10.9562309365499	-10.6931965307161	-10.4708041093796	-11.6931965307161	-11.2781590314372	-11.2781590314372	-9.47080410937963
LLM.2014.12.07	-4.91397566836703	NA	-8.30407526589598	-2.74060218814904	-3.17745404867452	-5.88323214493593	-3.77849131225375	-6.2138774569244	-5.6808427482471	-4.72299619966205	-2.66768452636782	-3.93409102966411	-5.08834657484054	-5.20842302683229	-8.35138098067433	-8.93634348139549	-4.81947972370459	-8.40029058115528	-4.82364334864613	-4.96365082739122	-7.2138774569244	NA	-7.30407526589598	-6.95449082810575	-7.76641847995318	-5.23036557971297	-5.79883995764555	NA	-5.78253814531645	-12.2582715762829	-7.28099165278293	-6.75047693608415	NA	-6.71911276517482	-8.01034406283927	-7.08834657484054	-13.2582715762829	-6.86595415350409	-11.6733090755617	-6.99148503558795	-8.6733090755617	-8.86595415350409	NA	-11.2582715762829	-13.2582715762829	-9.55783185814176	-8.6733090755617	-9.35138098067433	-11.6733090755617	NA	-13.2582715762829	NA
LLM.2014.12.17	-3.49196276111183	NA	-8.9464676986692	-2.24880506519868	-4.59597045158506	-7.00160925286166	-4.41352741029632	-5.05894242792761	-3.39495168104118	-5.04439411935845	-4.00160925286166	-3.61018431080476	-6.34953255628196	-6.39803107397315	-9.02046828011297	NA	-4.83794324189103	-6.55415027589044	-5.13911277661159	-3.71764900817332	-8.74483383749955	NA	-6.07857123467654	-7.98299357469431	NA	-8.36150519794804	-5.18093295230622	-13.2683957935566	-6.36150519794804	-9.56795607541547	-8.51350829139309	-8.41041479842899	NA	-5.92854579067193	-7.43550577939182	-7.36150519794804	-13.2683957935566	-6.84213103885446	NA	-8.09847079211425	-7.02046828011297	-8.62453960378183	NA	-12.2683957935566	-12.2683957935566	-10.6834332928354	-9.80896417491926	-9.36150519794804	-10.6834332928354	-11.6834332928354	-11.2683957935566	NA
LLM.2015.01.06	-4.78753576940626	-3.98018084734866	-6.52180221397151	-2.21750953898998	-3.34142826329817	-3.19583483961614	-5.2134206509221	-6.59084385840117	-4.83700444567056	-3.79770279556326	-4.49839760963657	-3.99414252122324	-7.9413411054853	-6.21887508101421	-7.70868034869502	-9.9413411054853	-4.6302740032297	-10.6783066996515	-5.66335635818553	-5.67081216310458	-8.8709517775939	NA	-6.50838169820919	-6.22984619883521	-9.35637860476414	-7.21887508101421	-5.77141610404299	-13.2632692003727	-7.15474474359449	-8.73970724431565	-6.20798676487147	-6.75547456017397	NA	-8.21887508101421	-8.09334419893035	-10.6783066996515	NA	-8.56282948223157	-13.2632692003727	-7.45591427831506	-9.9413411054853	-9.56282948223157	NA	-12.2632692003727	-10.2632692003727	-9.67830669965151	-9.56282948223157	-8.67830669965151	-12.2632692003727	-9.67830669965151	-10.2632692003727	NA
LLM.2015.01.14	-6.1911513106588	-4.35637369313583	-7.97183828225433	-2.91183525439878	-2.98228002897597	-3.20603156020181	-4.67981167308083	-5.05756815628021	-5.71034604122894	-3.56724252969713	-4.24043221343002	-3.79985962204404	-6.27996057761666	-7.37459745175473	-5.74944586091788	-8.93531240622921	-4.87353620864252	-6.99045396042168	-4.51577351471543	-5.21832151182427	-8.35034990550806	NA	-5.06741594223656	-8.55680078297548	-10.0873154996743	-7.58481515914508	-5.68738489278563	NA	-8.93531240622921	-10.9353124062292	-6.42435048695183	-9.08731549967426	NA	-7.12795748417161	-8.16977765986624	-7.97183828225433	-10.6722780003954	-7.58481515914508	-13.2572405011166	-7.12795748417161	-9.35034990550806	-8.04778713548763	NA	-9.93531240622921	-13.2572405011166	-10.2572405011166	-9.44988557905897	-9.44988557905897	-13.2572405011166	NA	-9.44988557905897	NA
LLM.2015.01.25	-6.26242266852044	NA	-10.1037249225014	-3.24712648142393	-2.58016296644437	-2.03524518461861	-4.5355576643232	-4.31945361355682	-6.53218293754254	-3.71331708973125	-4.32820608756578	-4.36375684017365	-5.83902169630697	-6.81421830530639	-6.93379992105907	-8.36675932833517	-5.40946377928941	-11.6886874232225	-5.82243881211136	-6.73449111283566	-7.39100687458185	NA	-5.6012245819722	-8.27364992394369	-10.4662950018861	-7.10372492250138	-7.25128211091524	NA	-8.10372492250138	-10.2736499239437	-6.18618708269335	-7.84738516924159	NA	-8.06419655831474	-8.10372492250138	-8.31945361355682	-11.6886874232225	-7.12390280443901	-13.2736499239437	-7.6012245819722	-9.02572241050011	-7.88133250116493	NA	-9.46629500188609	-12.2736499239437	-8.88133250116493	-8.95172182905633	-13.2736499239437	NA	NA	-11.2736499239437	NA
LLM.2015.02.08	-4.88110939380428	NA	-9.46177175709181	-3.08921758913448	-2.71453782747178	-4.16321817057826	-4.19231108209859	-5.19231108209859	-5.47471081279931	-4.05238082095411	-3.46177175709181	-3.03910624344378	-6.2918467556495	-6.85973574301172	-6.2918467556495	-8.94719858426206	-5.09420099664874	-7.65441683503421	-5.28613310445511	-4.73385130252861	-8.26912667914942	NA	-5.33248874014685	-7.56868696100833	NA	-7.80969506051212	-4.81379945884486	-13.2691266791494	-7.98372446028717	-11.2691266791494	-6.94719858426206	-8.3622360835409	NA	-7.71453782747178	-7.33838934158653	-8.3622360835409	-11.6841641784283	-6.89408724780249	NA	-7.09920167770711	-8.94719858426206	-9.3622360835409	NA	-10.0992016777071	-13.2691266791494	-9.80969506051212	-9.68416417842826	-11.2691266791494	-9.68416417842826	-13.2691266791494	-10.6841641784283	NA
LLM.2015.02.23	-3.71512226946514	-12.2697111211428	-9.56927140300169	-3.33454607153909	-3.42422107019841	-7.38706807178094	-3.95003900019579	-4.18490273333842	-5.10983978436439	-4.98894035101218	-2.99591552192852	-2.89684606103019	-5.5081598886983	-5.344898617537	-7.3389737835799	-8.94778302625542	-5.25848386571953	-6.62585493136806	-4.29816756719201	-4.87739369836402	-7.3389737835799	NA	-7.98430890228053	-8.06025775551383	NA	-5.94778302625542	-5.3213438895581	NA	-7.68474862042163	NA	-7.71512226946514	-7.31551481075591	NA	-6.89467168979586	-8.46235619908518	-8.74614916508577	-13.2697111211428	-7.36282052553426	-13.2697111211428	-7.38706807178094	-7.74614916508577	-9.18224827989244	NA	-12.2697111211428	-13.2697111211428	-10.4623561990852	-8.68474862042163	-9.68474862042163	-13.2697111211428	-13.2697111211428	-11.2697111211428	NA
