"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"T03"	"DMM"	"DMM3"	"DMMDMM3"	5.82979017709454	-0.365398749618045	0.447331111636115	0	0	0	0	NA	"abundance"	156	156
"T23"	"DMM"	"DMM4"	"DMMDMM4"	-2.59389152197337	-0.266968573950363	0.337145766101211	8.96112557491335e-08	7.8499460036241e-06	8.96112557491335e-08	5.97032727974319e-06	NA	"abundance"	156	153
"T32"	"DMM"	"DMM4"	"DMMDMM4"	1.92424193250003	-0.266968573950363	0.298399022631602	5.93599078779761e-08	7.8499460036241e-06	5.93599078779761e-08	5.97032727974319e-06	NA	"abundance"	156	155
"T01"	"DMM"	"DMM2"	"DMMDMM2"	3.58617179741864	0	0.656038511133344	4.59255955141433e-08	7.8499460036241e-06	9.18511889191261e-08	5.97032727974319e-06	NA	"prevalence"	156	91
"T30"	"DMM"	"DMM2"	"DMMDMM2"	3.34875653734248	0	0.625760663580866	8.72294121405291e-08	7.8499460036241e-06	1.74458816672088e-07	9.07185846694857e-06	NA	"prevalence"	156	85
"T45"	"DMM"	"DMM2"	"DMMDMM2"	4.88850497144125	0	0.920407465467841	1.08881810878356e-07	7.94837219411999e-06	2.17763609901464e-07	9.43642309573009e-06	NA	"prevalence"	156	74
"T30"	"DMM"	"DMM4"	"DMMDMM4"	3.76821408233061	0	0.735332557267913	2.98323198193189e-07	1.86665086869453e-05	5.96646307389647e-07	1.93910049901635e-05	NA	"prevalence"	156	85
"T48"	"DMM"	"DMM2"	"DMMDMM2"	-1.96049121673633	0.10442399884906	0.294686449629927	4.11967523872292e-07	2.2555221932008e-05	4.11967523872292e-07	1.53016508866851e-05	NA	"abundance"	156	146
"T15"	"DMM"	"DMM4"	"DMMDMM4"	-2.50550851132593	-0.266968573950363	0.367983704847578	1.00212819909018e-06	4.19634331673629e-05	1.00212819909018e-06	2.89503701959385e-05	NA	"abundance"	156	152
"T01"	"DMM"	"DMM4"	"DMMDMM4"	3.27619174231037	0	0.671171673938739	1.05387617543605e-06	4.19634331673629e-05	2.10775124021711e-06	4.60952883483505e-05	NA	"prevalence"	156	91
