"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Fusobacteria"	"DMM"	"DMM2"	"DMMDMM2"	3.34875653734248	0	0.625760663580866	8.72294121405291e-08	6.62943532268021e-06	1.74458816672088e-07	8.72294083360439e-06	NA	"prevalence"	156	85
"Fusobacteria"	"DMM"	"DMM4"	"DMMDMM4"	3.76821408233061	0	0.735332557267913	2.98323198193189e-07	1.13362815313412e-05	5.96646307389647e-07	1.49161576847412e-05	NA	"prevalence"	156	85
"Fusobacteria"	"DMM"	"DMM3"	"DMMDMM3"	2.59695862983465	0	0.576665685018384	6.68735412248408e-06	0.00016941297110293	1.3374663524263e-05	0.000222911058737716	NA	"prevalence"	156	85
"Proteobacteria"	"DMM"	"DMM3"	"DMMDMM3"	1.90080026147543	-0.178481778068565	0.204752394599964	2.83022360174634e-05	0.000537742484331805	2.83022360174634e-05	0.000353777950218293	NA	"abundance"	156	156
"Actinobacteria"	"DMM"	"DMM5"	"DMMDMM5"	1.99440468871642	-0.141769031917436	0.361449126398998	7.24856678160357e-05	0.00110178215080374	7.24856678160357e-05	0.000724856678160357	NA	"abundance"	156	150
"Proteobacteria"	"DMM"	"DMM5"	"DMMDMM5"	1.52954298138555	-0.141769031917436	0.251078846228551	0.000314721427984388	0.00398647142113558	0.000314721427984388	0.00262267856653657	NA	"abundance"	156	156
"Euryarchaeota"	"DMM"	"DMM3"	"DMMDMM3"	1.89881386545978	0	0.562273673934153	0.000732736263013776	0.00795542228414957	0.00146493562359642	0.0104638258828315	NA	"prevalence"	156	46
"Proteobacteria"	"DMM"	"DMM6"	"DMMDMM6"	3.62241505748409	-2.06016634263337	0.640976382033934	0.00266241811509405	0.0252929720933934	0.00266241811509405	0.0166401132193378	NA	"abundance"	156	156
"Cyanobacteria"	"DMM"	"DMM4"	"DMMDMM4"	-1.66747749086122	0.291867020425898	0.443834981749248	0.00559994708257916	0.0472884420306685	0.0111685347578306	0.0620474153212813	NA	"abundance"	156	140
"Euryarchaeota"	"DMM"	"DMM2"	"DMMDMM2"	2.37070813221342	0.337766221585037	0.648405800958198	0.0130037239969147	0.0898439112514109	0.0130037239969147	0.0650186199845737	NA	"abundance"	156	46
"Cyanobacteria"	"DMM"	"DMM3"	"DMMDMM3"	-3.12770507660869	0	1.31366089579021	0.0172700480231844	0.109376970813501	0.0342418414876457	0.142674339531857	NA	"prevalence"	156	140
"Euryarchaeota"	"DMM"	"DMM3"	"DMMDMM3"	1.62229501623654	-0.178481778068565	0.629160971589492	0.0227168246400636	0.13280605174191	0.00146493562359642	0.0104638258828315	NA	"abundance"	156	46
"Cyanobacteria"	"DMM"	"DMM2"	"DMMDMM2"	-0.999953974592028	0.337766221585037	0.390043842344034	0.0246448075678678	0.133786098225568	0.0486822485956784	0.173865173555994	NA	"abundance"	156	140
"Tenericutes"	"DMM"	"DMM6"	"DMMDMM6"	-4.14946386144317	0	1.87683069687642	0.0270435423577105	0.1370206146124	0.0533557315321676	0.177852438440559	NA	"prevalence"	156	149
"Verrucomicrobia"	"DMM"	"DMM6"	"DMMDMM6"	-6.75747982550159	-2.06016634263337	1.25245313920634	0.0306581395288472	0.145626162762024	0.0306581395288472	0.139355179676578	NA	"abundance"	156	156
"Tenericutes"	"DMM"	"DMM4"	"DMMDMM4"	-2.77477504644365	0	1.34755825759007	0.0394833920296823	0.176513987897403	0.077407845813195	0.215021793925542	NA	"prevalence"	156	149
"Tenericutes"	"DMM"	"DMM2"	"DMMDMM2"	1.41655893679669	0.337766221585037	0.309805054031646	0.0475445985664523	0.18159536900828	0.0928287082800596	0.244286074421209	NA	"abundance"	156	149
"Verrucomicrobia"	"DMM"	"DMM3"	"DMMDMM3"	-1.36132695981661	-0.178481778068565	0.40008147969977	0.0477882550021789	0.18159536900828	0.0477882550021789	0.173865173555994	NA	"abundance"	156	156
"Fusobacteria"	"DMM"	"DMM4"	"DMMDMM4"	2.56653440327749	0.291867020425898	1.07793637162668	0.0601483478234208	0.217679734979999	5.96646307389647e-07	1.49161576847412e-05	NA	"abundance"	156	85
"Cyanobacteria"	"DMM"	"DMM4"	"DMMDMM4"	-2.52504412689331	0	1.36179575807031	0.0637102966695648	0.220090115767587	0.0111685347578306	0.0620474153212813	NA	"prevalence"	156	140
"Actinobacteria"	"DMM"	"DMM2"	"DMMDMM2"	1.31436853383793	0.337766221585037	0.295948965592062	0.067142186881928	0.221861139262023	0.129776300504568	0.308991191677543	NA	"abundance"	156	150
"Actinobacteria"	"DMM"	"DMM3"	"DMMDMM3"	0.772781564353985	-0.178481778068565	0.298205883829909	0.07314623598115	0.222364557382696	0.07314623598115	0.215021793925542	NA	"abundance"	156	150
"Euryarchaeota"	"DMM"	"DMM4"	"DMMDMM4"	1.89738987516288	0.291867020425898	0.694187632472854	0.0713669313773813	0.222364557382696	0.0713669313773813	0.215021793925542	NA	"abundance"	156	46
"Actinobacteria"	"DMM"	"DMM6"	"DMMDMM6"	-2.68314721039688	0	1.53049279831031	0.0795803262636827	0.224003881334811	0.152827624199131	0.31839088374819	NA	"prevalence"	156	150
"Synergistetes"	"DMM"	"DMM4"	"DMMDMM4"	-1.03682584300819	0	0.585711203869848	0.0766938663325415	0.224003881334811	0.147505783532049	0.31839088374819	NA	"prevalence"	156	123
"Fusobacteria"	"DMM"	"DMM2"	"DMMDMM2"	2.21472980973106	0.337766221585037	1.0578363538488	0.0987055904887952	0.267915174183873	1.74458816672088e-07	8.72294083360439e-06	NA	"abundance"	156	85
"Firmicutes"	"DMM"	"DMM4"	"DMMDMM4"	-0.580141499137216	0.291867020425898	0.0587235219100043	0.108189776824847	0.279264540694932	0.108189776824847	0.270474442062116	NA	"abundance"	156	156
"Tenericutes"	"DMM"	"DMM5"	"DMMDMM5"	0.698150533560355	-0.141769031917436	0.379900297010022	0.110236002905894	0.279264540694932	0.20832002947512	0.41664005895024	NA	"abundance"	156	149
"Cyanobacteria"	"DMM"	"DMM6"	"DMMDMM6"	-8.2989271858861	0	5.76651727349843	0.150105874116223	0.368001497833321	0.150105874116223	0.31839088374819	NA	"prevalence"	156	140
"Fusobacteria"	"DMM"	"DMM6"	"DMMDMM6"	1.84343147976803	0	1.46397334805165	0.207959029046621	0.493902693985725	0.372671100331229	0.621118500552048	NA	"prevalence"	156	85
"Cyanobacteria"	"DMM"	"DMM3"	"DMMDMM3"	-0.871952606710673	-0.178481778068565	0.421232933450046	0.243791419917602	0.534421337926212	0.0342418414876457	0.142674339531857	NA	"abundance"	156	140
"Synergistetes"	"DMM"	"DMM2"	"DMMDMM2"	-0.335455224446248	0.337766221585037	0.392282513126114	0.24611508983444	0.534421337926212	0.431657542224666	0.665158459656611	NA	"abundance"	156	123
"Euryarchaeota"	"DMM"	"DMM5"	"DMMDMM5"	-2.30603211317063	0	1.92980226591253	0.232103550035348	0.534421337926212	0.232103550035348	0.446352980837207	NA	"prevalence"	156	46
"Fusobacteria"	"DMM"	"DMM3"	"DMMDMM3"	1.03430632120223	-0.178481778068565	1.07391870438008	0.276705650030991	0.584156372287647	1.3374663524263e-05	0.000222911058737716	NA	"abundance"	156	85
"Actinobacteria"	"DMM"	"DMM4"	"DMMDMM4"	0.905132882667811	0.291867020425898	0.329366664988571	0.322007379456874	0.622683104504563	0.540326006489065	0.77288177333611	NA	"abundance"	156	150
"Bacteroidetes"	"DMM"	"DMM6"	"DMMDMM6"	-0.322792268770381	-2.06016634263337	0.354779175342014	0.327727949739244	0.622683104504563	0.327727949739244	0.585228481677221	NA	"abundance"	156	156
"Actinobacteria"	"DMM"	"DMM2"	"DMMDMM2"	1.46631638254614	0	1.48801610321078	0.324419276625343	0.622683104504563	0.129776300504568	0.308991191677543	NA	"prevalence"	156	150
"Synergistetes"	"DMM"	"DMM6"	"DMMDMM6"	-5.80123586920366	0	5.64346570776789	0.303970405979768	0.622683104504563	0.303970405979768	0.562908159221793	NA	"prevalence"	156	123
"Bacteroidetes"	"DMM"	"DMM4"	"DMMDMM4"	0.80359383694918	0.291867020425898	0.123348469828411	0.352964760948301	0.638698138858831	0.352964760948301	0.608559932669485	NA	"abundance"	156	156
"Tenericutes"	"DMM"	"DMM4"	"DMMDMM4"	-0.310634324848466	0.291867020425898	0.360700844397761	0.346429630621373	0.638698138858831	0.077407845813195	0.215021793925542	NA	"abundance"	156	149
"Bacteroidetes"	"DMM"	"DMM2"	"DMMDMM2"	-0.0503153936996829	0.337766221585037	0.113330050438009	0.396463264798334	0.700725770341242	0.396463264798334	0.639456878706991	NA	"abundance"	156	156
"Firmicutes"	"DMM"	"DMM2"	"DMMDMM2"	-0.00909645534038249	0.337766221585037	0.0539539704806733	0.439004583373364	0.758280644008537	0.439004583373364	0.665158459656611	NA	"abundance"	156	156
"Fusobacteria"	"DMM"	"DMM6"	"DMMDMM6"	0.103963584818728	-2.06016634263337	2.39306036381424	0.465891411685826	0.76554459564543	0.372671100331229	0.621118500552048	NA	"abundance"	156	85
"Cyanobacteria"	"DMM"	"DMM2"	"DMMDMM2"	-1.05200161714351	0	1.50101778790409	0.483391100272515	0.76554459564543	0.0486822485956784	0.173865173555994	NA	"prevalence"	156	140
"Tenericutes"	"DMM"	"DMM3"	"DMMDMM3"	-1.05200188564376	0	1.50139827627443	0.483501849881324	0.76554459564543	0.733229660923986	0.87896345545131	NA	"prevalence"	156	149
"Synergistetes"	"DMM"	"DMM3"	"DMMDMM3"	-0.549395454846709	-0.178481778068565	0.392282513126114	0.500805063170213	0.776758873488493	0.750804415043505	0.87896345545131	NA	"abundance"	156	123
"Synergistetes"	"DMM"	"DMM5"	"DMMDMM5"	-0.44824800300302	0	0.694706451447398	0.518775760660075	0.788539156203313	0.76842323147171	0.87896345545131	NA	"prevalence"	156	123
"Firmicutes"	"DMM"	"DMM6"	"DMMDMM6"	-3.13102550783292	-2.06016634263337	0.168902643911123	0.541017241335277	0.806221771401589	0.541017241335277	0.77288177333611	NA	"abundance"	156	156
"Bacteroidetes"	"DMM"	"DMM3"	"DMMDMM3"	0.0539668657121794	-0.178481778068565	0.113330050438008	0.596819309343432	0.839967916853719	0.596819309343432	0.806512580193827	NA	"abundance"	156	156
"Firmicutes"	"DMM"	"DMM3"	"DMMDMM3"	-0.410930421849309	-0.178481778068565	0.0539539704806731	0.596564684912276	0.839967916853719	0.596564684912276	0.806512580193827	NA	"abundance"	156	156
"Tenericutes"	"DMM"	"DMM3"	"DMMDMM3"	-0.445217079771781	-0.178481778068565	0.312225442805322	0.595637478094819	0.839967916853719	0.733229660923986	0.87896345545131	NA	"abundance"	156	149
"Synergistetes"	"DMM"	"DMM4"	"DMMDMM4"	-0.0148646481996125	0.291867020425898	0.460986598970164	0.664090091414854	0.888255811492661	0.147505783532049	0.31839088374819	NA	"abundance"	156	123
"Actinobacteria"	"DMM"	"DMM4"	"DMMDMM4"	-0.370270431366272	0	0.926967497687771	0.689567011553513	0.888255811492661	0.540326006489065	0.77288177333611	NA	"prevalence"	156	150
"Euryarchaeota"	"DMM"	"DMM6"	"DMMDMM6"	-2.30603211317065	0	5.6457584804748	0.682940463260677	0.888255811492661	0.682940463260677	0.87896345545131	NA	"prevalence"	156	46
"Fusobacteria"	"DMM"	"DMM5"	"DMMDMM5"	0.306752921616349	0	0.758176850368106	0.685776825824335	0.888255811492661	0.90126379681097	0.968766189038254	NA	"prevalence"	156	85
"Cyanobacteria"	"DMM"	"DMM5"	"DMMDMM5"	-0.299887756204202	-0.141769031917436	0.474585832025933	0.775830921227614	0.921299218957791	0.94974822412234	0.969130840941163	NA	"abundance"	156	140
"Fusobacteria"	"DMM"	"DMM5"	"DMMDMM5"	-0.606407650964058	-0.141769031917436	1.59537357587616	0.766166819276398	0.921299218957791	0.90126379681097	0.968766189038254	NA	"abundance"	156	85
"Proteobacteria"	"DMM"	"DMM2"	"DMMDMM2"	0.196928780906258	0.337766221585037	0.204752394599965	0.757657199624632	0.921299218957791	0.757657199624632	0.87896345545131	NA	"abundance"	156	156
"Verrucomicrobia"	"DMM"	"DMM2"	"DMMDMM2"	0.478603662263816	0.337766221585037	0.400081479699772	0.773487840797153	0.921299218957791	0.773487840797153	0.87896345545131	NA	"abundance"	156	156
"Verrucomicrobia"	"DMM"	"DMM4"	"DMMDMM4"	0.0850824022898005	0.291867020425898	0.435448834064071	0.740443946107868	0.921299218957791	0.740443946107868	0.87896345545131	NA	"abundance"	156	156
"Synergistetes"	"DMM"	"DMM2"	"DMMDMM2"	-0.146447218686234	0	0.604725806762138	0.808647453126279	0.931169794509054	0.431657542224666	0.665158459656611	NA	"prevalence"	156	123
"Synergistetes"	"DMM"	"DMM3"	"DMMDMM3"	-0.14644721868623	0	0.604725806762136	0.808647453126284	0.931169794509054	0.750804415043505	0.87896345545131	NA	"prevalence"	156	123
"Bacteroidetes"	"DMM"	"DMM5"	"DMMDMM5"	-0.223026277397286	-0.141769031917436	0.138971650918136	0.83805168233954	0.950625788922464	0.83805168233954	0.931168535932823	NA	"abundance"	156	156
"Actinobacteria"	"DMM"	"DMM6"	"DMMDMM6"	-1.94791852323985	-2.06016634263337	1.27973993329119	0.952166499915798	1	0.152827624199131	0.31839088374819	NA	"abundance"	156	150
"Firmicutes"	"DMM"	"DMM5"	"DMMDMM5"	-0.0989417464789166	-0.141769031917436	0.0661613784014766	0.910640217695958	1	0.910640217695958	0.968766189038254	NA	"abundance"	156	156
"Proteobacteria"	"DMM"	"DMM4"	"DMMDMM4"	0.291867020425898	0.291867020425898	0.222852583846891	1	1	1	1	NA	"abundance"	156	156
"Synergistetes"	"DMM"	"DMM5"	"DMMDMM5"	-0.141769031917436	-0.141769031917436	0.492815403783003	1	1	0.76842323147171	0.87896345545131	NA	"abundance"	156	123
"Tenericutes"	"DMM"	"DMM6"	"DMMDMM6"	-2.17241416202689	-2.06016634263337	1.35513891591771	0.95303617136355	1	0.0533557315321676	0.177852438440559	NA	"abundance"	156	149
"Verrucomicrobia"	"DMM"	"DMM5"	"DMMDMM5"	-0.177391055455408	-0.141769031917436	0.490602302926363	0.948753304391435	1	0.948753304391435	0.969130840941163	NA	"abundance"	156	156
"Cyanobacteria"	"DMM"	"DMM5"	"DMMDMM5"	4.50544277240004e-14	0	2.25882036276075	0.999999999999984	1	0.94974822412234	0.969130840941163	NA	"prevalence"	156	140
"Tenericutes"	"DMM"	"DMM2"	"DMMDMM2"	-3.85931326643908e-14	0	1.84271069699341	0.999999999999983	1	0.0928287082800596	0.244286074421209	NA	"prevalence"	156	149
"Tenericutes"	"DMM"	"DMM5"	"DMMDMM5"	-2.02448956100849e-14	0	2.25963499297798	0.999999999999993	1	0.20832002947512	0.41664005895024	NA	"prevalence"	156	149
"Euryarchaeota"	"DMM"	"DMM2"	"DMMDMM2"	1.45088978750618	0	0.566027937044579	0.0103687494798706	0.0788024960470165	0.0130037239969147	0.0650186199845737	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	46
"Euryarchaeota"	"DMM"	"DMM4"	"DMMDMM4"	1.2284850465199	0	0.607405333725049	0.0431234052716597	0.18159536900828	0.0713669313773813	0.215021793925542	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	46
"Actinobacteria"	"DMM"	"DMM5"	"DMMDMM5"	1.46631638254614	0	1.98073888011855	0.459125518466581	0.76554459564543	7.24856678160357e-05	0.000724856678160357	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	150
"Actinobacteria"	"DMM"	"DMM3"	"DMMDMM3"	0.414314765402629	0	1.03639349650377	0.689328958512385	0.888255811492661	0.07314623598115	0.215021793925542	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	150
"Cyanobacteria"	"DMM"	"DMM6"	"DMMDMM6"	NA	NA	NA	NA	NA	0.150105874116223	0.31839088374819	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	156	140
"Euryarchaeota"	"DMM"	"DMM5"	"DMMDMM5"	NA	NA	NA	NA	NA	0.232103550035348	0.446352980837207	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	156	46
"Euryarchaeota"	"DMM"	"DMM6"	"DMMDMM6"	NA	NA	NA	NA	NA	0.682940463260677	0.87896345545131	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	156	46
"Synergistetes"	"DMM"	"DMM6"	"DMMDMM6"	NA	NA	NA	NA	NA	0.303970405979768	0.562908159221793	"Fitting error (NA p-value returned from fitting procedure)"	"abundance"	156	123
"Bacteroidetes"	"DMM"	"DMM2"	"DMMDMM2"	NA	0	NA	NA	NA	0.396463264798334	0.639456878706991	"All logistic values are the same"	"prevalence"	156	156
"Bacteroidetes"	"DMM"	"DMM3"	"DMMDMM3"	NA	0	NA	NA	NA	0.596819309343432	0.806512580193827	"All logistic values are the same"	"prevalence"	156	156
"Bacteroidetes"	"DMM"	"DMM4"	"DMMDMM4"	NA	0	NA	NA	NA	0.352964760948301	0.608559932669485	"All logistic values are the same"	"prevalence"	156	156
"Bacteroidetes"	"DMM"	"DMM5"	"DMMDMM5"	NA	0	NA	NA	NA	0.83805168233954	0.931168535932823	"All logistic values are the same"	"prevalence"	156	156
