feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2012.11.06	0.00457317073170732	0.134654471544715	0.000304878048780488	0.0345528455284553	0.45020325203252	NA	0.317276422764228	0.000508130081300813	0.000304878048780488	0.0576219512195122
LLM.2013.01.26	0.00245298446443173	0.457890433360589	0.00173753066230581	0.00102207686017989	0.452677841373671	0.000102207686017989	0.0494685200327065	0.00112428454619787	0.00163532297628782	0.0318887980376124
LLM.2013.02.08	0.00183355403891209	0.370479779973515	0.000407456453091576	0.00101864113272894	0.452072934705103	0.00366710807782418	0.143933992054599	0.000407456453091576	0.00112050524600183	0.0250585718651319
LLM.2013.02.05	0.00236285185946168	0.35997534415451	NA	0.00102732689541812	0.515615368810355	0.0127388535031847	0.0389356893363468	0.00123279227450175	0.000513663447709061	0.0675981097185124
LLM.2013.03.24	0.00172029953450718	0.363084395871281	0.00101194090265129	0.00101194090265129	0.424306820481684	0.000809552722121028	0.199453551912568	0.000101194090265129	0.0035417931592795	0.0049585104229913
LLM.2013.04.07	0.00142233059026719	0.41369501168343	0.000609570252971655	0.00101595042161942	0.419689119170985	0.0149344711978055	0.141826678858072	0.000203190084323885	0.00162552067459108	0.00497815706593518
LLM.2013.04.29	0.00223486387647298	0.3649939049167	NA	0.00101584721657863	0.486184477854531	0.00121901665989435	0.139374238114588	0.000101584721657863	0.000304754164973588	0.00457131247460382
LLM.2013.07.14	0.00312279641382089	0.352573788657198	NA	NA	0.470434169436889	0.000503676840938854	0.169235418555455	0.000100735368187771	0.00151103052281656	0.00251838420469427
LLM.2013.09.03	0.00463803186126235	0.211635410364993	NA	0.0020165355918532	0.433958459366808	0.00020165355918532	0.346339987900786	0.00010082677959266	0.000403307118370639	0.000705787457148619
LLM.2013.09.24	0.00679926933225086	0.174345443474731	NA	0.0010148163182464	0.454637710574386	0.00010148163182464	0.361680535823016	0.00010148163182464	0.00111629795007104	0.000202963263649279
LLM.2013.11.10	0.00293581696699737	0.346223931970034	NA	NA	0.379429034217453	0.000101235067827495	0.26918404535331	NA	0.00161976108523993	0.000506175339137477
LLM.2013.12.14	0.0113337381096944	0.348107670512042	NA	0.00101194090265128	0.352155434122647	NA	0.279295689131755	0.00101194090265128	NA	0.00708358631855899
LLM.2014.01.19	0.00310462589257994	0.39532236365518	NA	0.00103487529752665	0.359515678360758	0.00413950119010659	0.0807202732070785	0.000620925178515989	0.0020697505950533	0.153472006623202
