feature	Actinobacteria	Bacteroidetes	Cyanobacteria	Euryarchaeota	Firmicutes	Fusobacteria	Proteobacteria	Synergistetes	Tenericutes	Verrucomicrobia
LLM.2012.11.06	-7.77258950389693	-2.89266595588868	-11.6794800995054	-4.8550516640889	-1.15135161678422	NA	-1.65618777824869	-10.9425145053392	-11.6794800995054	-4.11723767528437
LLM.2013.01.26	-8.67124618780623	-1.12692567158242	-9.16874584727705	-9.93428059364002	-1.14344340664207	-13.2562086885274	-4.33734545125279	-9.79677706989009	-9.25620868852739	-4.97080646966514
LLM.2013.02.08	-9.09114149855708	-1.43253328954378	-11.2610664999994	-9.93913840511203	-1.14537254780238	-8.09114149855708	-2.79652074966545	-11.2610664999994	-9.8016348813621	-5.31855199466015
LLM.2013.02.05	-8.72525510322149	-1.47402999967733	NA	-9.92688896439114	-0.955632828518993	-6.29462074889163	-4.68276302110741	-9.66385455855735	-10.9268889643911	-3.88687328554326
LLM.2013.03.24	-9.18312449919717	-1.46162316552825	-9.94865924556015	-9.94865924556015	-1.23682022560112	-10.2705873404475	-2.32587527940403	-13.2705873404475	-8.14130432350255	-7.6558774963323
LLM.2013.04.07	-9.45752745718197	-1.27336053316388	-10.6799198785184	-9.94295428435221	-1.25260703438346	-6.06521003440321	-2.81779915302992	-12.2648823792396	-9.26488237923958	-7.65017253512437
LLM.2013.04.29	-8.80559732382086	-1.454055722456	NA	-9.9431008475708	-1.04042426091966	-9.680066441737	-2.84296417628535	-13.2650289424582	-11.680066441737	-7.77317584612849
LLM.2013.07.14	-8.32294576664682	-1.504002870314	NA	NA	-1.08793524243667	-10.9552139821463	-2.56289655936757	-13.2771420770337	-9.37025148142518	-8.63328588725897
LLM.2013.09.03	-7.75227155395646	-2.24034705872132	NA	-8.95390541512611	-1.20437114745685	-12.2758335100135	-1.52973912630801	-13.2758335100135	-11.2758335100135	-10.4684785879559
LLM.2013.09.24	-7.20040456585441	-2.51997943517372	NA	-9.94456566142482	-1.13721073936722	-13.2664937563122	-1.46721213479026	-13.2664937563122	-9.80706213767489	-12.2664937563122
LLM.2013.11.10	-8.41202225825087	-1.53022264360518	NA	NA	-1.39809801571926	-13.2700032533784	-1.89333519152078	NA	-9.27000325337844	-10.9480751584911
LLM.2013.12.14	-6.46323241838991	-1.52239449085805	NA	-9.94865924556015	-1.50571574971142	NA	-1.84013478878198	-9.94865924556015	NA	-7.14130432350254
LLM.2014.01.19	-8.33136485049545	-1.33889852318086	NA	-9.91632735121661	-1.47587340739358	-7.91632735121661	-3.63092513235436	-10.6532929453828	-8.91632735121661	-2.70395256364934
