"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"[Ruminococcus];T21"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.243129837088491	-0.105816637708565	0.386180657384765	0.73072613410759	1	0.927491585147356	1	NA	"abundance"	156	155
"[Ruminococcus];T21"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.124606597706164	0.124606597706164	0.530320089468156	1	1	1	1	NA	"abundance"	156	155
"[Ruminococcus];T21"	"Year"	"Year"	"Year"	-1.4722370094622	-0.0626944540690981	1.43032820674816	0.36997816734803	1	0.603072490381853	1	NA	"abundance"	156	155
"Akkermansia;T06"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.305057713889477	-0.105816637708565	0.489709789377043	0.691438305191662	1	0.691438305191662	1	NA	"abundance"	156	156
"Akkermansia;T06"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.246149714643794	0.124606597706164	0.6724908002244	0.599486774981267	1	0.599486774981267	1	NA	"abundance"	156	156
"Akkermansia;T06"	"Year"	"Year"	"Year"	-0.780742822035125	-0.0626944540690981	1.81377733833212	0.706659621793247	1	0.706659621793247	1	NA	"abundance"	156	156
"Bacteroides;T04"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.399433458893202	-0.105816637708565	0.280486452154104	0.338486430047318	1	0.338486430047318	1	NA	"abundance"	156	156
"Bacteroides;T04"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.568576896846001	0.124606597706164	0.385176205893627	0.136878703858316	1	0.136878703858316	1	NA	"abundance"	156	156
"Bacteroides;T04"	"Year"	"Year"	"Year"	-1.78656726339915	-0.0626944540690981	1.03886012014066	0.170010277905045	1	0.170010277905045	1	NA	"abundance"	156	156
"Bifidobacterium;T51"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	0.246935019051099	-0.105816637708565	1.36755422725666	0.807927965796183	1	0.0928604189607883	1	NA	"abundance"	156	99
"Bifidobacterium;T51"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	1.29161722469611	0.124606597706164	1.81856792460608	0.555390487185838	1	0.271170131168303	1	NA	"abundance"	156	99
"Bifidobacterium;T51"	"Year"	"Year"	"Year"	3.21056423078407	-0.0626944540690981	3.5211029179058	0.406240309320104	1	0.647449429723714	1	NA	"abundance"	156	99
"Bilophila;T35"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	0.174414231637121	-0.105816637708565	0.427051017293322	0.526424644856494	1	0.775726383000702	1	NA	"abundance"	156	153
"Bilophila;T35"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.0783221328813106	0.124606597706164	0.586445046813461	0.742364893677835	1	0.933624151990367	1	NA	"abundance"	156	153
"Bilophila;T35"	"Year"	"Year"	"Year"	0.808284114368725	-0.0626944540690981	1.58170302959154	0.604445931201606	1	0.843536978657035	1	NA	"abundance"	156	153
"Blautia;T14"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.0748927564774062	-0.105816637708565	0.21253124803644	0.894637425175668	1	0.988898727826387	1	NA	"abundance"	156	155
"Blautia;T14"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.495528334150182	0.124606597706164	0.29185716145583	0.32176501214255	1	0.539997301246005	1	NA	"abundance"	156	155
"Blautia;T14"	"Year"	"Year"	"Year"	0.00983540783621918	-0.0626944540690981	0.787168992203139	0.942616715249175	1	0.996707158631206	1	NA	"abundance"	156	155
"Clostridium;T48"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	0.297853073706822	-0.105816637708565	0.442418393569032	0.383980600688986	1	0.620520099672498	1	NA	"abundance"	156	146
"Clostridium;T48"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	1.07257224782424	0.124606597706164	0.607548196869229	0.163674187858223	1	0.300559135945397	1	NA	"abundance"	156	146
"Clostridium;T48"	"Year"	"Year"	"Year"	3.89159121742428	-0.0626944540690981	1.63862041095319	0.0405266583167654	1	0.0794109065992069	1	NA	"abundance"	156	146
"Coprococcus;T08"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.240393818692525	-0.105816637708565	0.430857757635824	0.761129659342016	1	0.942940960353939	1	NA	"abundance"	156	155
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.159320980229827	0.124606597706164	0.591672628362182	0.955662744175336	1	0.998034207745938	1	NA	"abundance"	156	155
"Coprococcus;T08"	"Year"	"Year"	"Year"	-1.25870823917714	-0.0626944540690981	1.59580235845104	0.484993302618167	1	0.734768101651857	1	NA	"abundance"	156	155
"Desulfovibrio;T40"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	0.316132955826499	-0.105816637708565	0.278665333144059	0.176095239946708	1	0.321180946361528	1	NA	"abundance"	156	154
"Desulfovibrio;T40"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.429020090660548	0.124606597706164	0.382675365994292	0.490713974471277	1	0.740627744201157	1	NA	"abundance"	156	154
"Desulfovibrio;T40"	"Year"	"Year"	"Year"	1.38607918218332	-0.0626944540690981	1.03211509591922	0.239788726258699	1	0.422078819276629	1	NA	"abundance"	156	154
"Dialister;T23"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.392744686964916	-0.105816637708565	0.415729144028635	0.50616136821189	1	0.756123405753647	1	NA	"abundance"	156	153
"Dialister;T23"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.570701150889549	0.124606597706164	0.570897357596356	0.468715982269524	1	0.717737292504163	1	NA	"abundance"	156	153
"Dialister;T23"	"Year"	"Year"	"Year"	2.27779825933786	-0.0626944540690981	1.53976930149295	0.177314212367324	1	0.323188094827203	1	NA	"abundance"	156	153
"Dorea;T24"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	0.151132004596738	-0.105816637708565	0.332926515473737	0.464969873570964	1	0.713742763813329	1	NA	"abundance"	156	154
"Dorea;T24"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.0171526137332549	0.124606597706164	0.4571891836013	0.835478430380892	1	0.972932653130065	1	NA	"abundance"	156	154
"Dorea;T24"	"Year"	"Year"	"Year"	-0.771520822640321	-0.0626944540690981	1.23308657942963	0.603313787449305	1	0.842640048772185	1	NA	"abundance"	156	154
"Faecalibacterium;T11"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.400237505908289	-0.105816637708565	0.190023870215435	0.197500618958733	1	0.355994743428384	1	NA	"abundance"	156	154
"Faecalibacterium;T11"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.372304867529569	0.124606597706164	0.260949050468188	0.161099791169699	1	0.296246439624477	1	NA	"abundance"	156	154
"Faecalibacterium;T11"	"Year"	"Year"	"Year"	-1.55054641461236	-0.0626944540690981	0.703806615704705	0.13050046312592	1	0.243970555375761	1	NA	"abundance"	156	154
"Lachnospira;T13"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.229304202471641	-0.105816637708565	0.352133165540229	0.735327779208164	1	0.929948615541118	1	NA	"abundance"	156	154
"Lachnospira;T13"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.185986732385148	0.124606597706164	0.483564591553172	0.554866734763318	1	0.801856376179729	1	NA	"abundance"	156	154
"Lachnospira;T13"	"Year"	"Year"	"Year"	1.06581613563364	-0.0626944540690981	1.30422378638682	0.433540833188562	1	0.679124012335292	1	NA	"abundance"	156	154
"Oscillospira;T38"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	"UCSD.LDL.Particle...by.NMR_nmol.L"	-0.397847405149788	-0.105816637708565	0.252925815623047	0.299175141378882	1	0.299175141378882	1	NA	"abundance"	156	156
"Oscillospira;T38"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.528143951863547	0.124606597706164	0.34732874007302	0.131076179191872	1	0.131076179191872	1	NA	"abundance"	156	156
"Oscillospira;T38"	"Year"	"Year"	"Year"	-1.02902564967343	-0.0626944540690981	0.936781584946108	0.386632249184116	1	0.386632249184116	1	NA	"abundance"	156	156
