feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2016.12.01	NA	-7.53108715308141	-3.67592484014168	-10.6740451069235	-6.7354456515876	-5.00634217519436	-9.35211701203609	-5.96438685875298	-6.99222106694971	-7.32827027008172	-8.35211701203609	NA	-3.66655057037653	NA	NA	-4.451652685587	NA	-8.79957598900731	-4.35211701203609	-9.55856788950352	-6.81606411179588	-11.2590076076446	-3.32384255804091	-7.90145560302653	-5.04955424201566	-4.25619259203755	NA	-6.22558460610716	-12.2590076076446	-7.06918304876459	-9.93707951275725	-8.93707951275725	-6.4645917412945	-6.451652685587	-5.53790841893742	-3.77922734361551	-2.84537967862044	-8.40102661251704	-5.08408192514393	-3.36570607678405	-10.2590076076446	-6.0890826062023	-8.50412010548114	NA	-11.6740451069235	-5.40102661251704	-6.71984879653658
LLM.2016.12.03	NA	-12.2858356558614	-1.53596622846458	NA	NA	-12.2858356558614	NA	-12.2858356558614	NA	NA	NA	NA	NA	NA	NA	NA	NA	-7.13608853635674	NA	NA	NA	NA	-3.54943372454313	NA	NA	NA	NA	NA	NA	NA	-12.2858356558614	-12.2858356558614	NA	-6.98205490768432	NA	-8.64197946608669	-8.15655263891645	-0.946542355681325	NA	-6.62762417310962	NA	NA	NA	NA	-5.75445419534511	-12.2858356558614	NA
LLM.2016.12.04	NA	-11.698993986944	-3.20313896005679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.698993986944	NA	NA	NA	-7.35321915010223	NA	NA	-11.2839564876651	NA	-7.58351676952402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.887351706483256	-7.89163906488635	-5.54924686743928	-7.45106647350037	-2.12282460468081	NA	-3.85979019884701	NA	-11.2839564876651	NA	-10.698993986944	-7.7603945316081	NA	-8.32976017727824
LLM.2016.12.11	NA	-10.9477830262554	-1.71800285952209	-12.2697111211428	-8.46235619908518	-2.97738948834074	-11.2697111211428	-9.09978611970047	-9.46235619908518	NA	-7.59728577917129	NA	-6.69985551281183	-12.2697111211428	NA	-7.26971112114278	NA	-5.52151827155332	-4.35383174230701	NA	-5.28671754644847	NA	-7.87739369836402	NA	-11.6847486204216	-6.68474862042163	NA	-8.18224827989244	-12.2697111211428	-10.4623561990852	-9.68474862042163	NA	-12.2697111211428	-8.31551481075591	-6.3039268364807	-5.38706807178094	-3.47367151231301	NA	-4.51482361897931	-2.23079213185048	NA	NA	-5.44316263385187	NA	-9.18224827989244	NA	-6.28102643437062
LLM.2016.12.17	NA	-7.85960873471763	-3.05348111604403	NA	-9.66696365677523	-3.99453831480374	-9.5514864393553	-4.90763024958057	-8.39394516236882	-10.929998062609	-6.74413151729769	NA	-4.19935810669224	-10.929998062609	NA	-5.38156143791298	NA	-7.79249453885909	-6.36928310813455	NA	-7.3211888199335	-8.16446331624605	-7.18583696703862	-11.2519261574964	-6.91207615461176	-3.90985148949725	NA	-9.92999806260903	-10.929998062609	-8.49703865533292	-9.0039986440528	NA	-9.66696365677523	-7.92999806260903	-5.47713909789522	-4.89437415287831	-2.58659024031121	-10.929998062609	-5.4317471950812	-1.88669730824484	-8.34503556188787	-6.48374183271946	-6.66696365677523	NA	-10.2519261574964	NA	-5.42537767020547
LLM.2016.12.25	NA	-5.92278290325956	-4.0152950420491	NA	-8.08377477993187	-6.58127443940269	NA	-4.01052579790123	-6.94991903319708	-6.39571878624661	-9.44634485931658	NA	-5.14517532459601	NA	NA	-7.34680918576566	NA	-7.29950347098731	-5.18761059091641	NA	-7.12441676442921	-9.0057722679306	-5.59548829862239	NA	-9.16623694012384	-5.63164796191781	NA	-8.34680918576566	-7.32296244381129	-3.40195073995812	-9.16623694012384	-12.2536997813742	-5.51899016114834	-9.66873728065302	-7.63898993725897	-4.79837256106962	-3.79426816273688	-7.86138235859542	-2.44715015938822	-2.07379069135925	-8.29950347098731	-12.2536997813742	-5.11414842897539	NA	NA	NA	-7.69911092969654
LLM.2017.01.01	NA	-7.29067716090292	-2.20928883406227	-8.80852546576554	-9.46060216234524	-5.64590526494646	-7.77610398807316	-3.75028769626903	-7.29067716090292	-6.09803208296053	-9.80852546576554	NA	-5.10808574762445	NA	NA	-6.15943262762467	NA	-7.03913839390696	-5.00117054370794	NA	-7.46060216234523	-10.0980320829605	-6.69810147607189	-12.2679570844028	-7.94602898951548	-5.84169232970074	NA	-9.09803208296053	-9.1804942431525	-4.59553174243134	-9.36106648879432	-10.6829945836817	-6.21267464890165	-8.26795708440284	-7.15943262762467	-5.03913839390696	-3.60796119197286	-9.46060216234524	-3.3254425790636	-2.23591135747203	-7.13867406745787	-8.62410089462811	-5.69052825636709	-12.2679570844028	NA	NA	-7.11820996489816
LLM.2017.01.08	NA	-7.79692451687687	-2.87481318432958	NA	-10.4490012134566	-4.99426129014399	-7.86403871273541	-3.94347318022981	-8.79692451687687	-5.13223482368498	-7.9344280406268	NA	-5.09144920883848	NA	NA	-6.43617717309898	-12.2563561355142	-7.02753744501829	-6.20107370001298	NA	-7.9344280406268	-9.55591641737307	-8.30215982512729	NA	-6.62699951543456	-4.58747115124792	NA	-11.2563561355142	NA	-4.69030209734307	-9.34946553990565	-10.9344280406268	-7.86403871273541	-8.73279417945715	-5.92543925739955	-3.98489310760979	-3.28194154570864	-8.34946553990565	-3.74262853956173	-1.94517547546081	-7.30215982512729	-8.08643113407185	-6.67139363479301	-9.9344280406268	NA	NA	-6.41086608456979
LLM.2017.01.15	NA	-8.66103577975155	-3.60394658754473	-10.6610357797516	-7.81973352577061	-6.02682976001055	-9.54555856233161	-2.95713220630689	-5.98861043778006	-5.46463856694805	-9.4386433584151	NA	-5.25731359370054	NA	NA	-8.99807076702912	-11.2459982804727	-7.07607327903039	-5.54555856233161	NA	-6.92407018558534	-8.24599828047271	-6.836607344335	-12.2459982804727	-8.54555856233161	-5.0219966062746	NA	-9.33910768486419	-6.87095884912578	-3.03654491484376	-8.49111077830924	-8.92407018558534	-8.15853543922237	-8.66103577975155	-7.38801728534513	-4.79067106016815	-3.80098343460428	-10.0760732790304	-3.98861043778005	-1.86121453037935	-8.24599828047271	-11.2459982804727	-7.29180197008583	NA	NA	NA	-6.99807076702912
LLM.2017.01.22	NA	-8.01063852044635	-3.16713064756633	-9.35167543828141	-8.79913441525264	-5.19787010220238	-8.30436972350306	-4.0082676159836	-6.6586531917028	-5.56507907639061	-8.73500407783292	NA	-5.05889368905357	NA	NA	-8.04911266826098	NA	-6.51709904748879	-6.078656943875	NA	-6.47720632036527	-7.45121111183233	-6.02974734339405	NA	-7.04911266826098	-4.96854718695731	NA	-7.83230127918783	-8.50367853172646	-3.40994309346059	-9.35167543828141	-10.0886410324476	-8.50367853172646	-9.45121111183233	-6.04911266826098	-4.98710300598556	-2.99882277019915	-8.01063852044635	-3.27985557478358	-2.37058390083148	-5.21417191453148	-9.01063852044635	-6.61470984411521	-11.2585660338899	NA	NA	-7.76671293756026
