"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Phascolarctobacterium;T32"	"Year"	"Year"	"Year"	-1.20509403361525	0.0228745808547927	0.131650112055523	4.46334507131496e-08	1.28544338053871e-05	8.92668994341541e-08	1.3925636311728e-05	NA	"abundance"	156	155
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.910606646249874	0.0139993708024194	0.15120801427031	1.26798099775449e-06	0.000121726175784431	1.26798099775449e-06	9.89025178248504e-05	NA	"abundance"	156	155
"Providencia;T18"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	3.05907009419422	0	0.630786068791128	1.23700828441407e-06	0.000121726175784431	2.47401503863864e-06	0.000128648782009209	NA	"prevalence"	156	85
"Parvimonas;T45"	"Year"	"Year"	"Year"	-2.03215637022169	0	0.428225831253343	2.07966266914127e-06	0.000149735712178172	4.15932101328573e-06	0.000162213519518143	NA	"prevalence"	156	74
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.83958893615407	0	0.410099239508931	7.26693050227545e-06	0.000418575196931066	1.4533808196272e-05	0.000453454815723685	NA	"prevalence"	156	46
"[Prevotella];T20"	"Year"	"Year"	"Year"	-9.07034981139811	0	2.3548827008097	0.000117290883654556	0.0056056851893078	0.000234568010157724	0.006072411912652	NA	"prevalence"	156	82
"Fusobacterium;T30"	"Year"	"Year"	"Year"	-1.23805674209823	0	0.324533626219276	0.000136249292795676	0.0056056851893078	0.000272480021721564	0.006072411912652	NA	"prevalence"	156	85
"Aggregatibacter;T50"	"Year"	"Year"	"Year"	-1.28893107890579	0	0.366162253446218	0.00043136932911915	0.0155292958482894	0.000862552578740194	0.0168197752854338	NA	"prevalence"	156	52
"Bifidobacterium;T51"	"Year"	"Year"	"Year"	-1.1550292021575	0	0.335438305377907	0.000574569702029595	0.018386230464947	0.0011488092737167	0.0199126940777561	NA	"prevalence"	156	99
"[Ruminococcus];T21"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.473760421362809	0.0139993708024194	0.109580786140315	0.00127733730044399	0.0334430129570791	0.00127733730044399	0.0199264618869263	NA	"abundance"	156	155
"Methanobrevibacter;T16"	"Year"	"Year"	"Year"	-1.26218183512561	0.0228745808547927	0.313722649941753	0.00120343929909894	0.0334430129570791	1.4533808196272e-05	0.000453454815723685	NA	"abundance"	156	46
"Lachnospira;T13"	"Year"	"Year"	"Year"	0.730530155790215	0.0228745808547927	0.153446711761489	0.00193009497479535	0.0463222793950884	0.00385646468297897	0.0501340408787266	NA	"abundance"	156	154
"Dialister;T23"	"Year"	"Year"	"Year"	0.810957064939537	0.0228745808547927	0.19607838903802	0.00246749059907359	0.0507598066095138	0.00492889268829065	0.0591467122594879	NA	"abundance"	156	153
"Unclassified Enterobacteriaceae;T02"	"Year"	"Year"	"Year"	2.12683221652877	0.0228745808547927	0.63147464307834	0.00238686065873872	0.0507598066095138	0.00238686065873872	0.0338500238875673	NA	"abundance"	156	76
"[Prevotella];T20"	"Year"	"Year"	"Year"	-1.51018392998775	0.0228745808547927	0.476465823197568	0.0035953214020652	0.0690301709196518	0.000234568010157724	0.006072411912652	NA	"abundance"	156	82
"Bifidobacterium;T51"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.611838696439214	0.0139993708024194	0.196529520699158	0.00492188551465311	0.088593939263756	0.00981954607228687	0.102123279151783	NA	"abundance"	156	99
"Serratia;T22"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-2.12520435836073	0.0139993708024194	0.569962160471416	0.00755860873219127	0.128051724404182	0.00755860873219127	0.0842244973015599	NA	"abundance"	156	29
"Parvimonas;T45"	"Year"	"Year"	"Year"	0.611100822586603	0.0228745808547927	0.509531745780791	0.272205321538844	0.653292771693227	4.15932101328573e-06	0.000162213519518143	NA	"abundance"	156	74
"Aggregatibacter;T50"	"Year"	"Year"	"Year"	0.521295582859046	0.0228745808547927	0.543221561457149	0.381647793611208	0.758031479724331	0.000862552578740194	0.0168197752854338	NA	"abundance"	156	52
"Fusobacterium;T30"	"Year"	"Year"	"Year"	-0.240523817430213	0.0228745808547927	0.422759001892959	0.556614314080805	0.904788247277784	0.000272480021721564	0.006072411912652	NA	"abundance"	156	85
"Bifidobacterium;T51"	"Year"	"Year"	"Year"	0.142401807945269	0.0228745808547927	0.219726803003085	0.653451646871699	0.905670212950808	0.0011488092737167	0.0199126940777561	NA	"abundance"	156	99
"Dialister;T23"	"Year"	"Year"	"Year"	-0.48518700227568	0	0.8807177288965	0.581702534612018	0.905670212950808	0.00492889268829065	0.0591467122594879	NA	"prevalence"	156	153
"Lachnospira;T13"	"Year"	"Year"	"Year"	-0.475185010534913	0	1.07555174058992	0.658629732167128	0.905670212950808	0.00385646468297897	0.0501340408787266	NA	"prevalence"	156	154
"Providencia;T18"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.0233962760348508	0.0139993708024194	0.430384908203709	0.932330428434391	1	2.47401503863864e-06	0.000128648782009209	NA	"abundance"	156	85
"Phascolarctobacterium;T32"	"Year"	"Year"	"Year"	6.49375591900647e-15	0	1.20249570301542	0.999999999999996	1	8.92668994341541e-08	1.3925636311728e-05	NA	"prevalence"	156	155
"Serratia;T22"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	-0.544062327513148	0	0.339277929500669	0.10880469531851	0.386861138910258	0.00755860873219127	0.0842244973015599	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	29
"Unclassified Enterobacteriaceae;T02"	"Year"	"Year"	"Year"	0.221387319448733	0	0.237518284381081	0.351292404951209	0.727857644790994	0.00238686065873872	0.0338500238875673	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	76
"[Ruminococcus];T21"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	4.26158083719109e-15	0	1.0791657320761	0.999999999999997	1	0.00127733730044399	0.0199264618869263	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	155
"Coprococcus;T08"	"Weight_lbs"	"Weight_lbs"	"Weight_lbs"	0.0168117221758781	0	0.990813567144777	0.986462468420474	1	1.26798099775449e-06	9.89025178248504e-05	"Prevalence association possibly induced by stronger abundance association"	"prevalence"	156	155
