feature	Aggregatibacter	Akkermansia	Bacteroides	Bifidobacterium	Bilophila	Blautia	Clostridium	Coprococcus	Desulfovibrio	Dialister	Dorea	Erwinia	Faecalibacterium	Fusobacterium	Lachnobacterium	Lachnospira	Methanobrevibacter	Oscillospira	Parabacteroides	Parvimonas	Phascolarctobacterium	Prevotella	Providencia	Pseudomonas	Roseburia	Ruminococcus	Serratia	Sutterella	Synergistes	Unclassified Burkholderiaceae	Unclassified Christensenellaceae	Unclassified Clostridiaceae	Unclassified Coriobacteriaceae	Unclassified Cyanobacteria	Unclassified Enterobacteriaceae	Unclassified Erysipelotrichaceae	Unclassified Firmicutes	Unclassified Lachnospiraceae	Unclassified Proteobacteria	Unclassified Rikenellaceae	Unclassified Ruminococcaceae	Unclassified S24-7	Unclassified Tenericutes	Unclassified [Barnesiellaceae]	Veillonella	[Eubacterium]	[Prevotella]	[Ruminococcus]
LLM.2012.11.06	NA	-4.11723767528437	-3.96294640524405	-11.2644426002266	-10.9425145053392	-5.30444066815852	-8.2644426002266	-10.2644426002266	-7.80501098158931	-4.7291672236058	-8.50955509806313	NA	-4.18762700317577	NA	-7.5365221456634	-6.49625827544968	-4.8550516640889	-7.97904038136435	-6.09451759878429	-13.2644426002266	-8.74088064416959	-12.2644426002266	NA	-13.2644426002266	-6.90689059560852	-5.457087678169	NA	-10.6794800995054	-10.9425145053392	NA	-8.35755200461808	-9.94251450533924	-7.90689059560852	-11.6794800995054	-1.68324201830164	-7.19835340976883	-4.24485187186872	-4.0598714559774	-12.2644426002266	-4.82149910437787	-2.79581855730858	-6.59201725825511	-11.6794800995054	-9.09451759878429	-11.6794800995054	-13.2644426002266	-6.94251450533924	-8.13515958328164
LLM.2013.01.26	NA	-4.97080646966514	-1.8877022270197	-10.6712461878062	-9.34931809291887	-5.95242794035028	-9.67124618780623	-10.2562086885274	-7.97080646966514	-6.8986566839093	-8.93428059364002	NA	-3.60875026207247	-13.2562086885274	-8.67124618780623	-5.40445964711133	-9.93428059364002	-6.38584396894398	-4.04432039398138	-13.2562086885274	-6.78047525756099	NA	NA	-13.2562086885274	-6.86389126574863	-4.92977920140508	-5.44885376646978	-8.34931809291887	-9.79677706989009	NA	-6.98942214783249	-9.34931809291887	-9.08628368708507	-9.16874584727705	-6.36139092521944	-5.49465745608291	-4.63782318626878	-4.0249875078162	-7.44885376646978	-3.67689275094737	-3.09507680554308	-5.52149906830155	-9.25620868852739	-7.70161983684975	-11.2562086885274	-13.2562086885274	-5.48802436375046	-8.50132118636392
LLM.2013.02.08	-11.2610664999994	-5.31855199466015	-2.02385653924437	-13.2610664999994	-8.8016348813621	-6.05161313437044	-7.5886411580279	-9.67610399927824	-7.19497730954162	-7.33032916243651	-8.40308550487182	NA	-3.20985755908463	-8.09114149855708	-7.97566428113714	-5.07124194111938	-9.93913840511203	-6.86874907722063	-4.78128623597029	-8.8016348813621	-7.93913840511203	-13.2610664999994	-13.2610664999994	-13.2610664999994	-7.11131938049471	-5.18425090294856	-13.2610664999994	-8.40308550487182	-11.2610664999994	NA	-7.28378657649948	-9.35417590439087	-9.17360365874905	-11.2610664999994	-2.94704979609804	-6.30687018961252	-4.29239970680418	-4.38454955343439	-9.35417590439087	-4.05405217982186	-3.1990203622789	-6.00367865730674	-9.8016348813621	-7.11131938049471	-13.2610664999994	-13.2610664999994	-7.61721031022467	-9.45371157794179
LLM.2013.02.05	-8.39083606415093	-3.88687328554326	-2.40725271154793	-10.9268889643911	-6.67896145094755	-6.27153713577859	-9.16135421802816	-8.54837734113741	-6.89126505466042	-5.78121150919551	-6.23758980385525	NA	-3.22229361675874	-6.29462074889163	-8.16135421802816	-6.49392955711503	-9.92688896439114	-7.85649963649974	-4.69807027389526	-7.29462074889163	-8.72525510322149	-4.69807027389526	NA	-13.2488170592785	-6.8225523045764	-6.22644924625005	NA	-8.49392955711503	-9.66385455855735	NA	-6.59060557652671	-8.07889205783619	-9.07889205783619	NA	-6.26013237250634	-7.20442293992005	-4.7489711721953	-4.19896850982794	-9.07889205783619	-3.7629877505766	-2.37076614654997	-7.20442293992005	-10.9268889643911	-7.41592704511376	NA	-11.6638545585573	-6.9450363111014	-8.07889205783619
LLM.2013.03.24	-11.6856248397264	-7.6558774963323	-2.16402440000263	-9.57014762230642	-9.81115572181021	-7.06113397481856	-9.46323241838991	-10.6856248397264	-8.46323241838991	-6.7470253843905	-8.18312449919717	NA	-3.20046639597069	-10.2705873404475	-6.6558774963323	-4.70453330227642	-9.94865924556015	-7.04176864995163	-4.93519698575359	-11.2705873404475	-8.1006623390052	-4.62312891399259	NA	-13.2705873404475	-5.77074145336431	-4.49909787094691	-4.58058936902807	-7.84432258574541	-13.2705873404475	NA	-10.2705873404475	-8.57014762230642	-11.2705873404475	-9.94865924556015	-2.76279270024881	-8.87826991766875	-4.56668376700285	-3.77074145336431	-9.27058734044751	-5.33394940144494	-4.38184409154925	-7.31639103006064	-8.14130432350255	-9.81115572181021	-11.6856248397264	NA	-4.85695941142334	-9.36369674483899
LLM.2013.04.07	-6.57838185205636	-7.65017253512437	-2.27761836716704	-10.9429542843522	-8.80545076060228	-6.71029352756194	-8.22048825988112	-10.0949573777973	-7.87256495646082	-5.406901384112	-7.48352266571492	NA	-3.14205438443191	-6.06521003440321	NA	-5.23145937770213	-9.94295428435221	-6.85549144310187	-4.84281761306676	-7.53696192467638	-8.94295428435221	-3.18007399143521	NA	-11.6799198785184	-5.46398247931927	-4.78106660197532	-5.60667089648778	-7.09495737779726	-12.2648823792396	NA	-10.9429542843522	-8.74132042318256	-10.0949573777973	-10.6799198785184	-3.46075135805626	-7.97948016037733	-5.01221694678933	-4.01458396133324	-7.406901384112	-4.98411160910897	-4.05056325843881	-7.67991987851842	-9.26488237923958	-9.67991987851842	-11.2648823792396	-13.2648823792396	-5.34601914196498	-9.67991987851842
LLM.2013.04.29	-11.680066441737	-7.77317584612848	-2.1942371330351	-9.9431008475708	-9.80559732382086	-5.23160594092071	-8.22063482309971	-9.09510394101585	-7.4836692289335	-6.13574592551319	-7.83876418775606	NA	-3.02781898170314	-9.680066441737	NA	-4.97962672359591	-9.9431008475708	-7.4836692289335	-5.2151803930076	-11.2650289424582	-8.17756610120782	-4.50015735172207	NA	NA	-5.41953889151378	-5.18821334540733	-5.16699685949763	-7.680066441737	-13.2650289424582	NA	-10.2650289424582	-10.0951039410158	-9.680066441737	NA	-3.33577053382119	-6.90747693784008	-4.66140259747197	-3.50514075923633	-10.680066441737	-5.01710142901457	-3.63749505798537	-7.59260360048666	-11.680066441737	-8.35813834684964	-10.680066441737	NA	-4.78524867842906	-8.56458922431707
LLM.2013.07.14	-12.2771420770337	-8.63328588725897	-2.59327020841109	-9.5767023588926	-8.23274795767524	-6.16861762025553	-9.18967923578336	-9.69217957631254	-8.69217957631254	-10.1072170755914	-6.72255322535606	NA	-3.26312160671876	-10.9552139821463	NA	-4.45059358974278	NA	-6.97336132885659	-4.45696311461851	-12.2771420770337	-6.43165202608932	-5.39449902767185	NA	NA	-7.66243223291849	-3.90427701692111	NA	-8.41916108190612	-13.2771420770337	NA	-9.37025148142518	-10.4697871549761	-9.10721707559138	NA	-2.67444321201573	-6.5492216224705	-5.29986215353378	-3.27011481013973	-8.06768871140475	-4.3914457036943	-4.0897900038332	-6.69217957631254	-9.37025148142518	-8.63328588725897	-11.2771420770337	NA	-4.11475074827679	-10.2771420770337
LLM.2013.09.03	-13.2758335100135	-10.4684785879559	-3.76605850568653	-8.06638014438452	-8.52094600785	-6.88351608723471	-9.10590850857116	-10.1059085085712	-9.95390541512611	-5.15171219818428	-6.72124465833583	NA	-2.73473689466395	-12.2758335100135	NA	-4.61049759282829	-8.95390541512611	-7.08600895113345	-5.51428227756899	-13.2758335100135	-8.27583351001347	-4.82050628970891	NA	-13.2758335100135	-8.69087100929231	-4.35697027273888	NA	-8.88351608723471	-13.2758335100135	NA	-9.81640189137617	-11.2758335100135	-10.1059085085712	NA	-1.67685053897738	-6.61762202726168	-5.35102100640769	-4.22870959789944	-5.18307636909362	-5.66112366589826	-4.59987647707172	-6.4178525148859	-11.2758335100135	-10.6908710092923	-10.9539054151261	NA	-4.35697027273888	-10.2758335100135
LLM.2013.09.24	NA	-12.2664937563122	-4.4023076116579	-7.38385070695034	-8.68153125559103	-6.60828227356039	-9.68153125559103	-10.2664937563122	-9.0185662428686	-4.87847647096705	-7.84022900161009	-8.80706213767489	-2.8666817969865	-13.2664937563122	NA	-4.14755268358868	-9.94456566142482	-5.9089417516941	-5.21664520686162	-13.2664937563122	-8.68153125559103	-4.88711538924092	NA	NA	-8.74293180025517	-5.27214031945333	NA	-8.09656875486987	-13.2664937563122	NA	-9.09656875486987	-13.2664937563122	-10.2664937563122	NA	-1.52924641328445	-5.6740367190441	-5.43360374214744	-4.04490663504738	-7.65178391219698	-4.84442899013937	-4.13978928346899	-7.84022900161009	-9.80706213767489	-9.68153125559103	-11.681531255591	NA	-5.26649375631218	-10.2664937563122
